age,male,_2015_1,_2015_2,_2015_3,_2015_4,_2016_1,_2016_2,_2016_3,_2016_4,_2017_1,_2017_2,_2017_3,_2017_4,_2018_1,_2018_2,_2018_3,_2018_4,_2019_1,_2019_2,_2019_3,_2019_4,_2020_1,_2020_2,_2020_3,_2020_4,_2021_1,_2021_2,_2021_3,_2021_4,_2022_1,_2022_2,_2022_3,_2022_4,_2023_1,_2023_2,_2023_3,_2023_4,_2024_1,_2024_2,_2024_3,_2024_4,_2025_1,_2025_2,_2025_3,_2025_4,_2026_1,_2026_2,_2026_3,_2026_4,_2027_1,_2027_2,_2027_3,_2027_4,_2028_1,_2028_2,_2028_3,_2028_4,_2029_1,_2029_2,_2029_3,_2029_4,_2030_1,_2030_2,_2030_3,_2030_4,_2031_1,_2031_2,_2031_3,_2031_4,_2032_1,_2032_2,_2032_3,_2032_4,_2033_1,_2033_2,_2033_3,_2033_4,_2034_1,_2034_2,_2034_3,_2034_4,_2035_1,_2035_2,_2035_3,_2035_4,_2036_1,_2036_2,_2036_3,_2036_4,_2037_1,_2037_2,_2037_3,_2037_4,_2038_1,_2038_2,_2038_3,_2038_4,_2039_1,_2039_2,_2039_3,_2039_4,_2040_1,_2040_2,_2040_3,_2040_4
20,False,210949,210949,210949,222510,222510,222510,222510,231730,231730,231730,231730,212554,212554,212554,212554,221616,221616,221493,221493,196194,196194,196194,196194,203126,203126,203126,203126,213024,213024,213024,213024,232992,232992,232992,232992,220964,220964,220964,220964,216306,216306,215398,215398,226834,226834,226834,226834,189982,189982,189982,189982,195899,195899,195899,195899,216164,216164,216164,216164,219979,219979,219642,219642,229425,229425,229425,229425,206816,206816,206816,206816,187928,187928,187928,187928,223584,223584,223584,223584,185941,269400,364590,451556,341406,335065,318014,310830,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307397,296121,306985,304739,292172,288892,284576
21,False,237919,237919,237919,210949,210949,210949,210949,222510,222510,222510,222510,231730,231199,231199,231199,212554,212554,212554,212554,221493,221493,221493,221493,196194,196194,196194,196194,203126,203126,203126,203126,213024,213024,213024,213024,232992,232992,232992,232992,220964,220964,220964,220964,215398,215398,215212,215212,226834,226834,226834,226834,189982,189982,189982,189982,195899,195899,195899,195899,216164,216164,216164,216164,219642,219642,219642,219642,229425,229425,228648,228648,206816,206816,206816,206816,187928,187928,187928,187928,223584,223584,223584,223584,185941,269400,364590,451556,341406,335065,318014,310830,313999,318041,313411,303804,320281,312419,324429,341559,314956,316719,307397,296051,306915
22,False,248234,248234,248234,237919,237919,237919,237919,210949,210949,210949,210949,222510,222510,222510,222510,231199,231199,231199,231199,212554,212554,212380,212380,221493,221493,221493,221493,196194,196194,196194,196194,203126,203126,203126,203126,213024,213024,213024,213024,231880,231880,231880,231880,220964,220964,220964,220964,215212,215212,215212,215212,226834,226834,226834,226834,189982,189982,189982,189982,195899,195899,195899,195899,216164,216164,216164,216081,219642,219642,219642,219642,228648,228461,228461,228461,206816,206816,206816,206816,187928,187928,187928,187928,223584,223584,223584,223584,185941,269400,364590,451556,341406,335065,318014,310830,313999,318041,313411,303804,320281,312419,324429,341559,314956
23,False,214924,214924,214924,248234,248234,248234,248234,237919,237919,237919,237919,210949,210949,210949,210949,222510,222510,222510,220129,231199,231199,231199,231199,212380,212380,212380,212380,221493,221493,221493,221493,196194,196194,196194,196194,203126,203126,203126,203126,212142,212142,212142,212003,231880,231880,231880,231880,220964,220964,220964,220964,215212,215212,215212,215212,226834,226834,226834,226834,189982,189982,189982,189982,195899,195899,195899,195899,216081,216081,216081,216081,219642,219642,219642,219642,228461,228461,228461,228461,206816,206816,206816,206816,187928,187928,187928,187928,223584,223470,223470,223470,185941,269400,364590,451556,341406,335065,318014,310830,313999,318041,313411,303804,320281
24,False,226701,226701,226701,214924,214924,214924,214924,248234,248234,248234,248234,237919,237919,237919,237919,210949,210862,210862,210862,220129,220129,220129,220129,231199,231199,231199,230500,212380,212380,212380,212380,221493,221493,221493,221493,196194,195489,195489,195489,203126,203126,203126,203126,212003,212003,212003,212003,231880,231880,231880,231880,220964,220964,220326,220326,215212,215212,215212,215212,226834,226834,226834,226834,189982,189982,189311,189311,195899,195899,195899,195899,216081,216081,216081,216081,219642,219642,219642,219642,228461,228461,228461,228461,206816,206564,206564,206564,187928,187928,187928,187928,223470,223470,223470,223470,185403,268862,364052,451018,341406,335065,318014,310830,313999
25,False,201409,201409,201409,226701,226701,226701,226701,214924,214924,214924,214924,248234,248234,248234,248234,237919,237919,237919,237919,209077,209077,209077,209077,220129,220129,220129,220129,230500,230500,229686,229686,212380,212380,212380,212380,221493,221493,221493,221493,195489,195489,195489,195489,203126,203126,203126,203126,212003,212003,212003,212003,231880,231880,231880,231880,220326,219324,219324,219324,215212,215212,215212,215212,226834,226834,226834,226834,189311,189311,189311,189311,195899,195899,195899,195899,216081,216081,216081,216081,219642,219642,219642,219642,228461,228461,228461,228461,206333,206333,206333,206333,187928,187928,187928,187928,223470,223470,223470,223470,185403,268862,364052,451018,341406
26,False,233266,233266,233266,201409,201409,199069,199069,226701,226701,226701,226701,214924,214924,214924,214924,248234,248234,248234,248234,237919,237919,236459,236459,209077,209077,209077,209077,220129,220129,220129,220129,229686,229686,229686,229686,212380,212380,212380,212380,221493,221493,221493,221493,195489,195489,195489,195489,203126,203126,203126,203126,212003,212003,212003,212003,231880,231880,231880,231880,219324,219324,219324,219324,215212,215212,215212,215212,226834,226834,226834,226834,189311,189311,189311,189292,195899,195899,195899,195899,216081,216081,216081,216052,219642,219642,219642,219642,228461,228461,228461,228461,206333,206333,206333,206333,187928,187928,187928,187928,223470,223470,223470,223470,185403
27,False,195270,195270,195270,233266,233266,233266,233266,199069,199069,199069,199069,226701,226701,226701,226701,214924,214924,214924,214924,248234,248234,247949,247949,236459,236459,236459,236459,209077,209077,209077,209077,220129,220129,220129,220129,229533,229533,229533,229533,212380,212380,212380,212380,221493,221493,221084,221084,195489,195489,195489,195489,203126,203126,203126,203126,212003,212003,212003,212003,231880,231880,231880,231880,219324,219324,219324,219324,215212,215212,215212,215212,226834,226834,226834,226652,189292,189292,189292,189292,195899,195899,195899,195899,216052,216052,216052,216052,219642,219642,219642,219642,228461,228461,228461,228461,206333,206333,206333,206333,187928,187928,187928,187928,223470
28,False,201033,201033,201033,195270,195270,195270,195270,233266,233266,233266,233266,199069,199069,199069,199069,226701,226701,226701,226701,214924,214924,214924,214924,247949,247949,247949,247949,236459,236056,236056,236056,209077,209077,209077,209077,220129,220129,220129,220129,229533,229533,229533,229533,212380,212380,212380,212380,221084,221084,221084,221084,195489,195489,195489,195363,203126,203126,202934,202934,212003,212003,212003,212003,231880,231880,231880,231880,219324,219324,219324,219324,215212,215212,215212,215212,226652,226652,226652,226652,189292,189292,189292,189292,195899,195899,195899,195899,216052,216052,216052,216052,219642,219642,219642,219642,228461,228461,228461,228461,206333,206333,206333,206333,187928
29,False,180345,180345,180345,201033,201033,201033,201033,195270,195270,195270,195270,233266,233266,233266,232733,199069,199069,199069,199069,226701,226701,226701,226701,214751,214751,214751,214751,247949,247949,247949,247949,236056,236056,236056,236056,209077,209077,209077,209077,220129,220129,220129,220129,229533,229393,229393,229393,212380,212380,212380,212380,221084,221084,221084,221084,195363,195363,194952,194952,202934,202934,202934,202934,212003,212003,212003,212003,231880,231880,231880,231880,219324,219324,219324,219324,215212,215212,215212,215212,226652,226652,226652,226652,189292,189292,189292,189292,195899,195899,195899,195899,216052,216052,216052,216052,219642,219642,219642,219642,228461,228461,228461,228461,206333
30,False,224839,224839,224839,180345,180345,180345,180345,201033,201033,201033,201033,195270,195270,195270,195270,232733,232733,232733,232733,199069,199069,199069,199069,226701,226701,226701,226701,214751,214751,214751,214751,247949,247481,247481,247481,235756,235756,235756,235756,209006,209006,209006,208780,220129,219734,219734,219734,229393,229393,229393,229393,212380,212380,212380,212380,221084,221084,221084,221084,194952,194952,194952,194952,202934,202934,202934,202934,212003,212003,212003,212003,231880,231880,231880,231880,219324,219324,219324,219324,215212,215212,215212,215212,226652,226652,226652,226652,189292,189292,189292,189292,195899,195899,195899,195899,216052,216052,216052,216052,219642,219642,219642,219642,228461
