age,male,_2015_1,_2015_2,_2015_3,_2015_4,_2016_1,_2016_2,_2016_3,_2016_4,_2017_1,_2017_2,_2017_3,_2017_4,_2018_1,_2018_2,_2018_3,_2018_4,_2019_1,_2019_2,_2019_3,_2019_4,_2020_1,_2020_2,_2020_3,_2020_4,_2021_1,_2021_2,_2021_3,_2021_4,_2022_1,_2022_2,_2022_3,_2022_4,_2023_1,_2023_2,_2023_3,_2023_4,_2024_1,_2024_2,_2024_3,_2024_4,_2025_1,_2025_2,_2025_3,_2025_4,_2026_1,_2026_2,_2026_3,_2026_4,_2027_1,_2027_2,_2027_3,_2027_4,_2028_1,_2028_2,_2028_3,_2028_4,_2029_1,_2029_2,_2029_3,_2029_4,_2030_1,_2030_2,_2030_3,_2030_4,_2031_1,_2031_2,_2031_3,_2031_4,_2032_1,_2032_2,_2032_3,_2032_4,_2033_1,_2033_2,_2033_3,_2033_4,_2034_1,_2034_2,_2034_3,_2034_4,_2035_1,_2035_2,_2035_3,_2035_4,_2036_1,_2036_2,_2036_3,_2036_4,_2037_1,_2037_2,_2037_3,_2037_4,_2038_1,_2038_2,_2038_3,_2038_4,_2039_1,_2039_2,_2039_3,_2039_4,_2040_1,_2040_2,_2040_3,_2040_4
10,True,219491,219491,219491,230809,230809,230809,230809,211260,211260,211260,211260,223099,223099,223099,223099,239722,239722,239722,239722,222279,222279,222279,222279,231113,231113,231113,231113,234234,234234,234234,234234,228410,228410,228410,228410,233634,233634,233634,233634,201893,295618,375801,463549,348928,341993,344220,335931,332612,328968,334143,347607,346021,356161,349869,335859,349272,344941,353838,361796,352668,358139,366013,364177,364088,340906,332650,339116,332223,349020,331821,331113,331487,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,318124,325329,323943,329130,324782,316831,324170,318983,322926,328578,327309,335588,338423,342277,344316,342032,337306,327563,304221,306955,313187,316876
11,True,212303,212303,212303,219432,219432,219432,219432,230809,230809,230809,229352,211260,211260,211260,211260,223099,223099,223099,223099,239722,239722,239722,239722,222279,222279,222279,222279,231113,231113,231113,231113,234234,234234,234234,234234,228410,228410,228410,228410,233379,233379,233379,233379,201893,295618,375801,463549,348928,341993,344220,335931,332364,328720,334143,347607,346021,356161,349869,335859,349272,344941,353838,361796,351202,356673,366013,363866,364088,340906,332650,339116,332223,349020,331821,331113,329809,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,318124,325329,323943,329130,324782,316549,324170,318983,322926,328578,327309,335588,338423,342277,344316,342032,337306,327563
12,True,223413,223413,223413,212303,212303,212303,212303,219432,219432,219432,219432,229352,229352,229352,229352,211260,211260,211260,211260,223099,223099,223099,223099,239722,239722,239722,239722,222279,222279,222279,222279,231113,231113,231113,231113,234234,234234,234234,234234,228410,228410,228410,228410,233379,233379,233379,233379,201893,295618,375801,463549,348928,341993,343972,335683,332364,328720,334143,347607,346021,356161,349869,335859,349272,344941,352372,360330,351202,356673,366013,363866,364088,340906,332650,339116,332223,347342,330143,329435,329809,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,318124,325329,323661,328848,324500,316549,324018,318831,322774,328426,327309,335588,338423,342277
13,True,232413,232413,232413,223413,223413,223413,223413,212303,211640,211640,211640,219432,219432,219432,219432,229352,229352,229352,229352,211260,211260,211260,211260,221665,221665,221665,221665,239722,239722,239722,239722,222279,222279,222279,222279,231113,231113,231113,231113,234112,234112,234112,234112,228410,228410,228410,228410,233379,233379,233379,233379,201893,295618,375801,463549,348928,341993,343972,334975,331656,328012,334143,347607,346021,356161,349869,335859,349272,344941,352372,360330,351202,356673,366013,363866,364088,340906,332650,339116,332223,347342,330143,328595,328969,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,318124,325329,323661,328848,324500,316549,324018,318831,322774,328426
14,True,249723,249723,249723,232413,232413,232413,232413,223413,223413,223413,223413,211640,211640,211640,211640,219432,219432,219432,219432,229352,229352,229352,229352,211260,211260,211260,211260,221665,221665,221665,221665,239722,239722,239722,239722,222279,222279,222279,222279,231113,231113,231113,231113,234112,234112,234112,234112,228410,228410,228410,228410,233379,233379,233379,233379,201893,295618,375801,463549,348928,341993,343264,334975,331656,328012,334143,347607,346021,356161,349869,335859,349272,344941,352372,360330,351202,356673,366013,363866,364088,340906,332650,339116,332223,346502,329303,328595,328969,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,318124,325329,323661,328848,324500,316549
15,True,232128,232128,232128,249527,249527,249211,249211,232304,232304,232304,232304,223413,223413,223413,223413,211640,211640,211640,211640,219432,219432,219314,219314,229352,229352,229352,229352,211260,211260,211260,211260,221665,221665,221665,221665,239722,239722,239722,239214,222279,222279,222279,222279,231113,231113,231113,231113,234112,234112,234112,234112,228410,228410,228410,228410,233379,233379,233379,233379,201893,295618,375801,463549,348928,341803,343264,334975,331656,328012,334143,347071,345391,355520,349333,335859,349272,344941,352277,360235,351202,356673,366013,363866,364088,340906,332650,339116,332223,346502,329303,328595,328969,325779,331982,330710,338719,327647,322874,324220,315236,325221,326374,318124,325329
16,True,234741,234741,234741,232128,232128,232128,232128,249211,249211,248978,248978,232304,232304,232204,231148,223413,223413,223413,223413,211640,211640,211640,211640,219314,218624,218624,218624,229352,229352,229287,229287,211260,211260,211260,211260,221665,221665,221665,221665,239214,239214,239214,239214,222279,222279,222279,222279,231113,231113,231113,231113,234112,233458,233458,233458,228410,228410,228410,228410,233379,233379,233379,233379,201893,295618,375611,463359,348738,341803,343264,334975,331656,327918,333944,346872,345286,355520,349333,335859,349177,344750,352181,360014,351077,356548,365888,363866,364088,340906,332650,339116,332223,346502,329303,328595,328969,325779,331982,330710,338719,327647,322874,324220,315236
17,True,235103,235103,235103,234741,234741,234741,234741,232128,232128,232128,232128,248978,248978,248978,248978,231148,231148,231148,231148,223413,223413,223413,223413,211640,211640,211640,211545,218624,218624,218624,218624,229287,229287,229287,229287,211260,211260,211260,211119,221665,221665,221665,221665,239214,239214,239214,239214,222279,222279,222279,222279,231113,231113,231113,231113,233458,233458,233458,233458,228410,228410,228410,228410,233379,233379,233379,233379,201893,295618,375611,463359,348738,341803,343264,334883,331564,327918,333944,346872,345286,355520,349333,335859,349081,344750,352181,360014,351077,356548,365770,363748,363601,340537,332281,338747,332223,346502,329303,328595,328969,325779,331982,330710,338719
18,True,286683,286683,286683,235103,235103,235103,234614,234741,234741,234741,234741,232022,232022,232022,232022,248978,248978,248978,248978,231148,231148,231148,231148,223413,223413,223413,223413,211545,211545,211545,211545,218624,218624,218624,218624,229287,229287,229287,229287,211119,211119,211119,211119,221665,220851,220851,220851,239214,239214,239214,239214,222279,222279,220624,220624,231113,231113,229517,229517,233458,233458,233458,233458,228410,228410,228410,228410,233379,233379,233379,233379,201893,295618,375611,463359,346644,339617,341078,334883,331564,327918,333944,346872,345286,355520,349333,335121,347991,343660,351443,360014,351077,356430,365770,363748,363428,340364,332281,338747,332223,346502,329303,328595,328969
19,True,259344,259344,259344,286683,286469,286469,286334,233649,233649,233649,233649,234741,234741,234741,234741,232022,232022,232022,232022,248978,248978,248978,248978,231148,231148,230954,230954,223413,223413,223413,223413,211545,211545,211288,211288,218624,218624,218624,218624,229287,229287,229171,229171,210926,210926,210926,210605,220851,220851,220851,220851,239214,239214,239214,239214,220624,220624,220624,220624,229517,229517,229517,229517,233458,233458,233458,233458,228410,228410,228410,228410,233379,233300,233300,233300,201893,295618,375611,460938,346317,339617,341078,334883,331564,327918,333944,346872,345286,355520,348981,334769,347991,343660,351443,360014,351077,356430,363837,361815,363428,340364,332281,338747,332223
20,True,251298,251298,251298,259179,259179,259179,259179,286334,286334,285415,285415,233649,233649,233545,233545,234741,234741,234741,234741,232022,232022,232022,232022,248978,248978,248978,248744,230954,230954,230954,230954,223413,223180,223180,223180,211288,211288,211288,211288,218624,218461,218461,218461,229171,229171,229171,229171,210605,210605,210605,210605,220674,220674,220674,220674,239214,239214,239214,239214,220624,220624,220624,220624,229517,229517,229517,229517,233458,233458,233458,233458,228410,228410,228410,228410,233300,233300,233300,233300,201893,295291,374614,460268,345647,339617,340545,334350,331031,327918,333944,346754,345168,355402,348981,334769,347991,343660,351443,360014,349317,354670,363837,361815,363428
21,True,238090,238090,238090,251298,250928,250928,250928,259179,259147,259147,259147,285415,285305,283770,283770,233545,233545,233545,233545,234741,234741,234741,234741,232022,232022,232022,232022,248744,248744,248744,248744,230954,229047,229047,229047,223180,223180,222535,222535,211288,211174,211174,211174,218461,218461,218461,218461,229171,229171,229171,229171,210605,210502,210502,210502,218939,218939,218939,218939,239214,239214,238876,238876,220624,220521,220521,220521,229517,229517,229517,229517,233458,233458,233193,233193,228410,228410,228410,228410,233300,233300,233300,233300,201893,294455,374448,460102,345647,338487,340380,334185,330740,327918,333826,346531,343008,353242,347044,334769,347991,343660,351443,359719,349317
22,True,248324,248324,248324,238090,238090,238090,238090,250928,250928,250928,250928,259147,259147,257381,257381,283770,283770,283770,283770,233545,233438,233438,233438,234741,234741,234741,233582,232022,232022,232022,232022,248744,248744,248744,248744,229047,229047,229047,228969,222535,222535,222535,222535,211174,211174,211174,211174,218367,218367,218367,218226,229171,229171,229171,229171,210502,210502,210502,210502,218939,218939,218939,218939,238876,238876,238876,238643,220521,220521,219465,219465,229517,229517,229517,227518,233193,233193,233193,233193,228410,228410,228410,228410,233257,233257,233257,232631,201727,294455,373851,459237,344782,337928,339296,334059,330740,327918,333603,344594,343008,353242,347044,334029,346956
23,True,212662,212066,212066,248324,246925,246925,246925,238090,238090,238090,237841,250685,250685,250685,250685,257381,257381,257381,257381,283770,283770,283770,283770,233438,233438,233438,233438,233582,233582,233582,233582,232022,232022,230340,230340,248744,248744,248744,248744,228969,228969,228293,228293,222535,222535,222535,222535,211174,211174,211174,210498,218226,218226,218226,218226,229171,229171,229171,229171,210502,210502,210502,210502,218939,218939,218939,218939,238643,238643,238643,238579,219465,219465,219465,219465,227518,227518,227518,227518,233193,233193,233003,233003,228410,228112,228112,228112,232631,232631,232631,232631,201727,294455,373851,458547,344092,337238,339296,333413,330094,327918,333603,344594,343008
24,True,225570,225392,225392,212066,212066,212066,210219,246568,246568,246568,246568,237841,237841,237841,237714,250685,250685,250685,250685,257381,257381,257219,257219,283770,283770,283770,283770,233438,233438,233438,233438,233478,233478,233478,233478,230340,230340,230340,230340,248744,248744,248744,248744,228293,228293,228293,228293,222535,222535,222535,222535,210498,210143,210143,210143,218226,218226,218059,218059,229171,229171,229171,229171,210502,210502,210502,210502,218939,218939,218507,218507,238579,238579,238579,238579,219329,219120,219120,219120,227518,227518,227518,227518,233003,233003,233003,233003,228112,228112,228112,228112,232631,232631,232631,232631,201727,294455,373565,458261,344092,336376,338434,333413,330094
25,True,217549,217549,217549,225392,225311,223877,223877,210219,210219,210219,210019,246568,246568,246403,246403,237714,237016,237016,237016,250685,250685,250685,250685,257219,257219,257219,256934,283770,283770,283770,283770,233438,233438,233438,231046,233171,233171,233171,233171,230340,230340,230340,230340,248744,248744,248744,248744,228293,228293,228293,227998,222535,222535,222535,222535,210143,210143,209904,208343,218059,218059,218059,217916,229171,229171,229171,229171,210502,210502,210502,210502,218507,218507,218507,218507,237276,237276,237276,237276,219120,219120,219120,219120,227301,227301,227301,227301,233003,233003,233003,233003,228112,228112,228112,228112,232631,232631,232631,232631,201441,294169,373565,458045,343876
26,True,199116,199116,199116,217549,217549,217549,217332,223877,223877,223877,223877,210019,210019,209897,209897,246403,246403,246403,246403,237016,235304,235304,235304,250685,250685,250685,250685,256934,256934,256934,256934,283671,283671,283565,283463,231046,230853,230853,230555,233089,233089,233089,233089,230340,230340,230340,230340,248515,248515,248515,248515,227998,227998,227998,227998,222535,222535,222535,222535,207920,207920,207796,207796,217916,217916,217916,217916,229171,229171,229171,229171,210502,210502,210502,210502,218507,218507,218507,218507,237276,235920,235920,235920,219120,219120,219120,219120,227210,227210,227210,227210,233003,233003,233003,233003,228112,228112,228112,228112,232631,232631,232631,232423,201441
27,True,170792,170792,170792,199116,198987,198987,198841,217039,217039,217039,217039,223877,223877,223877,223877,209655,209655,209655,209655,246403,246403,246403,246403,235304,235304,235304,235304,250685,250685,250685,250685,256934,256934,256934,256934,283463,283081,283081,283081,230555,230555,230555,230555,233089,233089,233089,233089,230340,230340,230340,230245,248515,248515,248515,248515,227998,227998,227725,227725,222535,222535,222535,222535,207796,207796,207504,207151,217916,217916,217916,217916,229171,229171,229171,229171,210502,210502,210502,210502,218507,218507,218507,218507,235920,235920,235920,235920,219120,219120,219120,219120,227038,227038,227038,227038,233003,233003,233003,233003,228112,228112,228112,228112,232423
28,True,211036,211036,211036,170736,170435,170049,170049,198841,198459,198459,198029,217039,217039,215619,215619,223877,223877,223877,223877,209655,209655,209655,209655,246403,246196,246196,246136,235304,235191,235191,235191,250685,250263,250263,250263,256934,256934,256934,256934,283081,283081,283081,283081,230555,230555,230555,230453,233089,233089,233089,233089,230245,230245,230245,230245,248515,248515,247729,247729,227725,227725,227725,227725,222535,222535,222535,222535,207151,207151,207151,207151,216415,216415,216415,216415,229171,229171,229171,229171,210502,210502,210502,210502,218222,218222,218222,218222,235920,235920,235920,235920,219120,219120,219120,219120,227038,227038,227038,227038,233003,233003,233003,233003,228112
29,True,187149,187149,187149,211036,211036,210863,210863,170049,170049,170049,167931,198029,198029,198029,198029,215619,215619,215619,215619,223877,223877,223877,223877,209655,209655,209655,209655,246136,246136,246136,246136,234951,234889,234889,234889,250263,250263,250263,250263,256934,256560,256560,256560,283081,283081,283081,282948,230453,230311,230311,230311,233089,233089,233089,233089,230245,230245,230245,230245,247729,247729,247729,247729,227725,227725,227725,227600,222535,222535,222535,222535,207151,207151,207151,207151,216415,216415,216415,216415,229171,229171,229171,229171,210004,210004,210004,210004,218222,218222,218222,218222,235920,235920,235153,235153,219120,219120,219120,219120,227038,227038,227038,227038,233003
30,True,210515,210515,210515,187087,186947,186947,186947,210863,210863,210863,210863,167931,167931,167931,167931,198029,198029,198029,198029,215619,215619,215619,215619,223877,223877,223877,223877,209655,209655,209655,209518,246136,245809,245809,245809,232585,232585,232585,232585,250263,250263,250263,250263,256560,256560,256560,256371,282948,282948,282948,282948,230311,230311,230311,230311,233089,233089,233089,233089,230245,230245,230245,230245,247729,247729,247729,247729,227475,227475,227259,227259,222535,222535,222535,222535,207151,207151,207151,207151,216415,216415,216415,216415,229171,229171,229171,229171,208039,208039,208039,208039,218042,217806,217806,216887,235153,235153,235153,235153,219120,219120,218888,218396,227038
31,True,196548,196548,196548,210515,210515,210515,210220,186850,186850,186850,186850,210863,210863,210863,210863,167931,167931,167931,167931,198029,198029,198029,198029,215400,215400,215400,215400,223877,223877,223877,223877,209518,209518,209518,209518,245809,245809,245809,245809,232585,232585,232585,232585,250263,250263,250263,250263,256371,256371,256205,255804,282948,282747,282747,282747,230311,230311,230311,230311,233089,233089,232983,232983,230245,230103,228747,228747,247729,247729,247729,247517,227259,227259,227259,227259,222453,222453,222453,222453,207151,207151,207151,207151,216415,216415,216415,216415,229171,229171,229171,229171,208039,207926,207926,207926,216887,216887,216811,216811,235153,235153,235153,235153,218396
32,True,191351,191351,191351,196548,196548,196548,196548,210047,210047,210047,210047,186850,186850,186850,186850,210863,210863,210863,210863,167931,167931,167441,167441,198029,198029,198029,198029,213465,213465,213465,213465,223877,223877,223747,220846,209518,209518,209518,209518,245809,245809,245809,245809,230774,230774,228308,228308,250263,250263,250263,250263,255804,255804,255804,255804,282747,282747,282656,282453,230311,230311,230311,230311,232983,232983,232983,232983,228747,228747,228747,228747,247517,247421,247421,247421,227259,227259,227259,227259,222453,222453,222453,222453,207151,207151,207151,207151,216415,216415,216415,216415,229171,229171,229171,229171,207926,207926,207926,207926,216811,216811,216811,216811,235153
33,True,214727,214727,214727,191351,189944,189844,189844,196548,196548,196548,196548,209432,209432,209432,209432,186538,186538,186538,186538,210863,210863,210863,210863,167441,167441,167441,166905,198029,198029,198029,198029,213465,213465,213465,213465,220846,220846,220846,218795,209518,209518,209518,209518,245809,245809,245809,245809,228308,228308,228308,228308,250263,250263,250263,249755,255804,255804,255804,255503,282453,282453,282453,282453,230311,230311,230311,230311,232983,232873,232873,232873,228410,228410,228410,228242,247421,247421,247421,247421,227259,227259,227259,227259,222344,222344,222235,222235,207151,207151,207151,207151,216415,216415,216415,216415,229171,229067,229067,229067,207926,207926,207926,207926,216811
34,True,188217,188217,188217,214058,214058,214058,214058,189844,189844,189844,189844,196548,196548,196548,196548,209368,209368,209268,209268,186538,186538,186538,186538,210863,210863,210863,210863,166905,166905,166905,166905,197654,197654,197654,197654,213465,213465,213465,213465,218795,218795,218595,218595,209518,209518,209518,209518,245809,245809,245809,245809,228308,228308,228308,228308,248807,248807,248807,248807,255503,255503,255503,255503,282453,282453,282453,282453,230311,230311,230311,230311,232873,232873,232873,232873,228242,228242,228242,228242,247421,247421,247421,247421,227259,227259,227259,227259,222235,221595,221595,221595,207151,207151,207151,207151,216415,216415,216415,216415,229067,229067,229067,229067,207926
35,True,163079,163079,163079,188217,188217,188217,188217,214058,214058,214058,214058,189514,189514,189011,189011,196548,196548,196548,196548,209268,209268,209268,209268,186420,186420,186420,185409,210863,210863,210108,210108,166413,166413,166413,166413,197654,197654,197654,197654,213465,213465,213465,213149,217443,217443,217443,217443,209518,209518,209518,209518,245809,245809,245809,245809,228308,228013,228013,228013,248807,248807,248807,248807,255503,255503,255503,255503,282453,282453,282172,282172,230311,230311,230311,230260,232873,232873,232873,232873,228242,228242,228242,228242,247421,247421,247421,247421,227259,227259,227259,227259,221323,221323,221323,221323,207151,207151,207151,207035,216415,216415,216415,216415,229067
36,True,174368,174368,174368,163079,163079,163079,163079,188217,188217,188217,188217,214058,213903,213903,213903,189011,189011,189011,189011,196548,196233,196233,196233,209268,209065,209065,209065,185409,184812,184812,184812,210108,210006,210006,210006,166413,166413,166413,166413,197654,197654,197654,197654,213149,213149,213149,213149,217443,217443,217272,217272,209518,209518,209518,209191,245682,245682,245571,245571,228013,228013,228013,228013,248807,248807,248702,248702,255503,255503,255503,255503,282172,280655,280655,280655,228585,228585,228585,228585,232873,232873,232873,232702,227596,227596,227596,227596,247421,247421,247421,247308,227259,226963,226963,226702,221323,221323,221323,221323,206284,206284,206284,206284,216415
37,True,150210,149716,149716,174368,174368,174173,174173,163079,163079,162987,162987,188217,188217,188217,188217,213903,213903,213903,213903,189011,189011,189011,189011,196233,196233,196233,196233,209065,209065,209065,209065,184812,184812,184812,184812,210006,210006,210006,210006,166413,166413,166413,166227,197654,197442,197442,197442,213149,213002,213002,213002,217272,217272,217272,217272,208154,208154,208154,207891,244911,244911,244911,244911,228013,228013,227665,227665,248702,248702,248702,248566,255503,255333,254169,254169,280569,280569,280569,280569,228585,228585,228585,228585,232702,232702,232702,232702,227596,227596,227596,227596,247308,247308,247308,246692,226702,226702,226702,226702,221323,221323,221323,221323,206284
38,True,180032,180032,180032,149716,149716,149716,149716,174173,174173,174173,174173,162987,162722,162502,162502,188217,188217,188217,188217,213903,213903,213754,213754,188848,188848,188848,188848,196127,196127,196127,196127,208841,208841,208841,208841,184812,184812,184727,184727,210006,210006,210006,210006,166227,166227,166227,166227,197442,197442,197442,197442,213002,213002,213002,213002,217272,217272,217272,217272,207891,207891,207891,207891,244775,244775,244559,244559,227665,227665,227665,227665,248463,248463,248463,248463,254169,254169,254169,254169,280569,280569,280569,280569,228383,228383,228383,228383,232702,232702,232702,232702,227241,227241,227241,227241,246590,246352,246352,246352,226702,226702,226702,226702,221323
39,True,182568,182568,182568,180032,179286,179286,179286,149716,149716,149716,149716,174173,174173,174173,174173,162502,162502,162502,162502,188217,188217,188217,188217,213754,213754,213754,213754,188372,188372,188372,188372,194771,194771,194771,194249,208841,208841,208841,208841,184727,184727,184727,184727,210006,210006,208944,208944,166227,166227,166227,166227,197442,197442,197442,197442,212118,210056,210056,210056,217272,217272,217272,217272,207891,207891,207891,207891,244559,244559,244559,244559,227665,227665,227665,227665,248463,248463,248463,248463,254169,253916,253408,253408,280569,280569,280569,280569,228383,228383,228383,228383,232702,232596,232596,232596,227241,227241,227241,227241,246352,246352,246352,246145,226702
