Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
89,18270637.9294739,17510300.2156929,47147766.064111,84287587.2567903,0,425831.794023278,247590.163476762,124165.366115654
90,21771583.521101,20983415.5277453,57543750.8173311,85140688.1888294,14190114.6981382,444142.501794098,253895.177833953,128757.59103939
91,18894333.1792953,18142843.1759638,49548084.4468889,86204932.3328546,0,421329.981279687,243580.066069928,123685.651402622
92,22616331.7703747,21843596.1879972,60576474.6150656,87663597.4156676,14610599.5692779,439641.406556706,245390.590490123,125290.836186676
93,19175463.4451445,18428629.5742452,49578075.9839203,88692377.4775285,0,410176.147340601,247421.988004244,127479.622220574
94,22793989.3268918,22024084.3689106,60106830.6660273,89674952.325625,14945825.3876042,427149.753973798,253964.742410559,126843.516567014
95,19859444.7604898,19054465.2843045,51713343.003599,91010722.1873221,0,466557.229008337,251255.438061139,124524.013022566
96,23677002.1283371,22895197.1480249,62847531.5399312,92753386.9774807,15458897.8295801,450604.455762059,245966.397035631,121763.039306498
97,20281903.1135056,19510192.8580339,52612142.6754172,93731376.5272976,0,444406.308264763,242195.029696678,121584.167871802
98,23968401.3875783,23142933.0119642,63215063.4006656,94176345.2589561,15696057.5431594,481140.929269956,252993.172794669,130477.533642075
99,20630546.5884544,19804466.14124,53725893.9263367,94627917.5679938,0,472539.517562776,260002.431206997,133626.42634954
100,24587486.5101999,23738624.368189,65279721.8975505,96007115.7081499,16001185.9513583,495707.947567007,259592.559407179,133659.478623896
101,21242599.2763118,20411096.0380511,55308545.8594581,97617835.0703044,0,489982.069269869,252243.055950044,127540.161486773
102,25176444.7462811,24357418.6623866,66830893.9063798,98721361.9106189,16453560.3184365,465440.79512239,260753.100425841,132617.411923257
103,21800731.2232899,20980766.1835261,57138395.4348759,99900125.0696552,0,474231.588971565,255277.496651349,129222.79162989
104,25986975.1220909,25167877.9336774,69415686.2895126,101516708.619158,16919451.4365263,466564.724990567,260914.546786684,130882.738051797
105,22291377.4898547,21460490.9848206,58310260.5220615,102374770.511566,0,475369.879558221,262533.515494846,132833.014258512
106,26346493.5696126,25531360.7731186,70279469.9027067,103163763.351934,17193960.5586557,449575.950408738,268260.142264133,138995.291173011
107,22699368.7825934,21858266.8716547,59733625.5026537,103777819.722103,0,481968.257561409,264346.856220266,135409.710224241
108,26997473.3326883,26175165.5804219,72450158.0763183,105264695.030667,17544115.8384445,463663.414665297,264109.891507592,135049.208705026
109,23085968.2573325,22252294.2789508,60702910.7076577,105803388.343868,0,465642.611074827,271486.914240908,137920.647237118
110,27441714.3153378,26618714.1222094,73593655.9769773,107137125.974593,17856187.6624322,458654.208135562,268944.419571793,136287.950601466
111,23766330.0113021,22889241.2077094,62785313.3955892,108292459.146833,0,507392.74268157,273802.580060173,136990.68692997
112,28251354.7244945,27417152.6479621,76252242.9564469,109782469.320372,18297078.220062,450198.956687922,285194.348308899,141155.387907951
113,24148858.5723018,23279674.0544093,63798817.2640123,110239092.595862,0,494801.965187088,277961.287433675,137744.664673957
114,28489393.1439026,27634158.143854,76656980.6396662,110904437.417434,18484072.9029056,484993.672963067,272191.102599655,140071.749265433
115,24516860.1038029,23628320.4107611,65054766.2042537,111448105.12077,0,509653.934709354,278607.064682049,143255.276643389
