Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
106,19276641.9865472,18456854.6601658,49379477.2776367,76585177.1692263,12764196.194871,472336.897762516,258709.768998785,126772.370885875
107,16687035.4171055,15867289.1135759,42385992.2069206,76931204.406491,0,458666.471628253,268568.856174107,132158.536753255
108,19741460.1892816,18901243.9625011,51058598.6634349,77781826.2875129,12963637.7145855,487120.540058372,262771.028592301,129035.225899819
109,16857837.1485721,16008629.7446221,42344331.2643124,78300243.2113761,0,495035.479782466,264251.765258858,128457.36986954
110,19744098.2514552,18880532.4137989,50580363.9040064,78242895.8313093,13040482.6385515,500229.564134124,269883.036119461,133504.624860982
111,17004021.6489006,16167119.8659577,43165914.6022452,78343645.6839972,0,490566.98449548,257903.812044848,126329.980575234
112,19959552.3068825,19154826.168575,51831996.9770356,78614079.7315187,13102346.6219198,455788.130089208,259841.232188083,127281.10861455
113,16948379.597399,16165552.2268155,42836473.8156151,78835919.4240653,0,423598.864583898,267346.354133911,131260.216950864
114,20014650.3105779,19208795.3456451,51587031.2702545,79344717.0253621,13224119.504227,448285.547683486,266329.082820628,130343.334898133
115,17419305.3452484,16601593.2766012,44531456.8951153,80099163.1291792,0,475811.261048348,255410.595535187,123557.445805243
116,20153987.5932043,19348843.2012179,52439846.0986413,79277301.7565332,13212883.6260889,452951.790642385,262710.930206237,127830.958768327
117,17157931.8102238,16364609.5259915,43412453.9985469,79690859.2572253,0,433911.946868496,267388.034579606,131460.432548787
118,20089396.291512,19284111.572526,51781531.4564996,79663915.6202867,13277319.2700478,448949.711516581,265978.88479004,129080.175256301
119,17328625.4312948,16551081.3475451,44321552.3989875,79975513.8887053,0,430514.973053128,260034.081619542,124278.612967158
120,20357003.9932339,19552537.171574,52995995.4123693,80109368.6532019,13351561.4422003,462584.683201751,256275.685794999,122294.932375948
121,17378892.700671,16581269.2002836,44009147.5173088,80757762.3862535,0,451781.697381974,258398.168606132,124919.477713177
122,20435907.5575228,19657230.4635776,52901178.8479644,81098578.1960847,13516429.6993474,428015.653353918,262612.728452926,125783.87448336
123,17633100.6458037,16830519.3136352,45159174.6445428,81213332.2605815,0,453954.439022617,260524.161209143,125861.045624
124,20754492.2065692,19934512.5152712,54163873.6418031,81528339.7135561,13588056.618926,454487.107307576,272396.700971974,132994.1185977
125,17681989.7807812,16852643.853507,44832073.3111515,81921449.1884608,0,456355.380939735,278030.063897289,135657.832053112
126,20861563.9483127,20030758.4849328,54029659.2634829,82427478.6147031,13737913.1024505,466064.410181203,273017.854475716,131033.141032877
127,18132429.6701975,17286563.4886237,46549515.902,83099632.160592,0,479771.437076903,273076.50313369,132883.20194752
128,21169559.2184625,20321003.324059,55343215.5230189,82870171.7866918,13811695.297782,489514.509922267,268629.41504674,129159.956335006
129,18011105.195461,17133859.0961572,45678320.126676,83071564.2221363,0,516387.992296834,270020.596628284,129767.871969557
130,21202720.3964032,20340435.9001311,54835259.9339345,83705798.2489357,13950966.3748226,502578.390751296,268723.949343983,129974.508824082
131,18158210.2248806,17291874.9803773,46478685.3731882,83262731.3791567,0,507599.425782431,267784.226819131,129930.84557404
132,21485118.9402036,20612640.5342594,56152128.6884637,84058172.4987546,14009695.4164591,516183.939287019,266055.501875515,128912.80683083
133,18218508.4281359,17395800.9927586,46380872.0805457,84344523.9134973,0,468202.272372689,265319.636062104,127407.895632059
134,21488798.837831,20672228.7511957,55883329.2097803,84897929.9356763,14149654.9892794,457899.019149521,268902.032900731,128241.477978581
135,18482870.2365811,17636632.6128298,47551275.0365585,84689778.1230353,0,486516.935446664,269627.674044045,128704.306086551
136,21696634.025069,20828258.3554015,56862279.6755893,84784606.2934891,14130767.7155815,499211.574026766,275428.724511587,133907.673041712
137,18437682.1480739,17572767.8055631,46983930.0184045,85076287.1668822,0,492879.204639266,277436.178454215,135141.370596167
138,21699592.7817583,20816393.5726399,56434989.2496641,85341885.6387285,14223647.6064547,514928.169537813,275001.118107317,133242.744961903
139,18702618.8812323,17866637.803015,48288643.779183,85669549.4873871,0,474455.393185757,271144.036209926,129116.641173681
140,21971978.4757372,21136909.8956722,57874805.7269345,85894401.6809096,14315733.6134849,480445.821842396,265677.956023152,127064.003141976
141,18634578.7627957,17790170.7986336,47689071.809975,85974677.2994016,0,484263.949742001,269297.631355726,129780.547234791
142,21838060.5553102,20989105.7522644,56954089.0572323,86018928.4637185,14336488.0772864,473839.413845437,279103.479722088,137159.870683331
143,18830131.2829596,17939208.5560776,48485187.0805825,86047975.7662632,0,513741.007445983,280514.784217917,138095.621740133
144,22169704.4321075,21268596.9355828,58319419.9818841,86319704.8683984,14386617.4780664,522323.33908572,282196.641117762,137982.166173179
145,18850464.3911974,17976011.9684696,48209482.1050747,86857305.5447255,0,496966.76553342,279716.472464432,139670.263899951
146,22400720.8686586,21500548.1849312,58527070.5193545,87822396.5858546,14637066.0976424,528161.08741337,277254.054715344,135367.91656947
147,19357947.2483682,18479947.5287398,50156246.9128906,88320605.0009049,0,494680.229988443,286066.066696604,138933.461347701
148,22955103.755319,22056311.9394908,60622899.0092748,89316868.5799257,14886144.763321,528616.122863984,276539.967881952,133765.321546167
149,19441323.1061584,18532570.7752993,49879207.3309098,89258716.6897621,0,534345.104851431,278916.605684614,136415.171890149
150,22692637.369067,21798525.7549543,59485298.8167882,88846199.6199814,14807699.9366636,519184.569715194,279347.849006852,136541.707700956
151,19698359.9035327,18840816.8233644,51302666.4400617,89776542.2239888,0,484742.776716269,279476.491816723,133319.730907564
152,22926721.2788995,22049369.1400913,60767426.3688037,89081803.4859427,14846967.2476571,504088.919725755,278497.966036991,135378.932922137
