Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
137,40986206.1695925,39994891.1611322,137518094.590029,143331946.410595,0,552180.21253125,296024.358089757,204443.482627437
138,47565141.0589076,46603412.1444339,158942538.082383,144913976.34667,24152329.3911117,516407.010212906,302517.40880781,204006.422075747
139,41584859.9902826,40579528.6701815,139510509.008788,145372496.382019,0,565606.588671557,297999.72685732,202464.292246033
140,48257725.4454918,47219116.0810831,161098130.409271,146816941.20243,24469490.2004049,596617.857412835,298515.943146813,204965.091212959
141,42513590.7520109,41499846.2741042,142744680.606115,148681664.645114,0,568616.838579736,302066.810829733,204372.612138819
142,49085275.8489578,48026834.2491902,163850394.379645,149266959.591233,24877826.5985389,609436.087142627,303597.856733857,207725.222701522
143,43150186.0739858,42103165.4692847,144796659.763915,150761107.34768,0,594424.825998364,306426.49761724,208813.258693589
144,49888553.1834005,48880627.4924615,166749357.167891,151880420.598743,25313403.4331237,543492.269287224,311163.843305027,218956.540495362
145,43842887.8899185,42819599.5169465,147269991.931188,153329957.089841,0,569708.556465478,306674.355890817,209864.943736625
146,50682674.8492178,49657485.0976433,169433008.007622,154314527.088342,25719087.848057,577488.484884747,301683.629204202,208596.62497935
147,44593633.7887294,43584717.5376496,149907926.647405,156066046.93992,0,563537.946420805,301190.653520434,205982.35876946
148,51893131.2738659,50893224.9958014,173615230.625291,158099362.970697,26349893.8284494,544148.937304848,307499.847902464,211796.418367464
149,45543946.6947737,44543005.8560694,153187482.784534,159424310.454076,0,556111.559537786,300256.516838248,206532.517611776
150,52648845.0810188,51635830.9350962,176195999.686514,160409048.154903,26734841.3591505,567325.920939327,298722.371173537,209951.21972819
151,46030682.0496392,45022404.5680937,154876721.767008,161154977.541776,0,558743.74755469,301126.308174758,212010.6083087
152,53378153.9565448,52377883.7972881,178751239.712563,162668728.467421,27111454.7445701,547029.749029711,303343.223968651,214138.837511834
