period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
125,4534275.05352038,2391481.1965188,579974.090389058,616189.594450397,801950.528439038,12239.2138600346,75050.0574643465,35766.5416879266,15013.3199565042
126,3832508.46296547,2504075.90801385,567983.769323085,632045.631659599,0,14668.5313101679,78565.9798232556,24473.4193264836,14602.634993266
127,3751650.75388731,2454057.89959202,528227.262310964,632224.82888361,0,19826.1488758437,84742.4414568321,19506.2562388316,16817.3701699079
128,3794839.43426142,2485309.15891543,534687.637529698,643330.401325454,0,20506.2232872403,68884.4574381701,24373.4011856173,14332.1774835448
129,4607700.41722112,2427819.6188206,564062.430767877,642301.497714033,839470.548812514,18635.4809016774,84590.166684551,24109.3990511112,15415.8833073061
130,3821647.61469588,2469769.02102302,580469.952899949,651172.372344328,0,14506.3327421038,63227.2642623069,30919.1182647939,12223.0309526258
131,3788611.7348693,2472366.9696747,550422.459488284,649766.110808094,0,16433.8319519284,69712.1323529641,22090.1722404634,15170.795353355
132,3836281.18466066,2537853.97564565,519364.292630576,662830.181608572,0,19222.6487957266,67552.085505999,22359.2077983911,14510.7833805481
133,4545843.1270776,2421036.93210095,509391.409916801,658361.219450447,834855.975746501,18778.1796024036,68291.7053713944,28178.4413855588,13225.7350208432
134,3782683.9980541,2469363.73294364,517938.163304433,669926.084259459,0,14804.2905473,83390.9392816608,19649.1360750268,15884.997509498
135,3727392.7133142,2396037.64868816,502966.13163746,668741.25964733,0,19709.908330856,77483.5008476594,31377.9839346619,16794.2608199197
136,3779407.90406149,2437712.25804532,527434.08419753,681030.207913292,0,20072.7962756818,76200.3809675513,23337.3929457393,14809.1192271375
137,4616922.19317766,2450021.78196126,491669.259490799,681682.590860269,857794.29546503,23840.5639911848,72351.2382739902,22339.1375187123,14803.8579803309
138,3849209.72879091,2523194.42212812,472202.9454255,703185.919301196,0,25770.2239716873,90846.4712305631,22449.4263651382,17974.4788683439
139,3687633.53860972,2408880.70049803,427192.420320238,700089.564119823,0,15064.8694378989,96981.0207844203,18678.2643908816,17782.1807729812
140,3781881.11488265,2535480.91230056,409102.03687474,715765.886965213,0,17430.2254423402,74041.1556566081,18352.1539337407,16384.1472792388
141,4470277.23732785,2414671.12825769,380233.215248732,714610.556664755,843052.960484647,15802.0301115725,79772.7581232175,9481.8314763355,16322.535730769
142,3731636.2254876,2470461.97125343,365626.662086236,731060.957178857,0,24653.5147741541,109736.049053714,17192.889733435,19714.3468776268
143,3679736.88888184,2434720.93105671,391497.817367763,723317.13069329,0,19558.8425726417,69647.3859316652,30641.6397644406,13918.5296894131
144,3769608.75339404,2484284.50029233,413184.669277062,738174.8633734,0,18671.8144961778,77093.5700376343,23700.5569702902,16381.4676513391
145,4548463.87158453,2492135.76357346,335027.793607901,733140.461243361,851264.915900338,22165.9733348645,86123.7338202078,7622.09972723073,17833.2038869166
146,3839376.81433065,2613949.99089022,338932.348997905,746079.252056377,0,21334.7604760636,92513.7532597422,13802.074698785,18004.5094116148
147,3673469.3582845,2460836.77286463,359626.514579677,744499.713801908,0,20009.5878960992,64185.5495503017,10609.3849234699,15341.1924800614
148,3730277.0418505,2522174.08821083,328504.609013183,761881.067425116,0,19889.8053661053,77554.2275832106,6952.57628104098,16964.6573700032
149,4443777.58034823,2402160.2231252,326015.429289075,758040.469830152,834326.927065305,28350.3278795079,69278.0196340666,14911.3143368656,15887.3145399861
150,3695035.85289189,2457965.68383483,344995.754406666,771457.897743333,0,25492.3971334135,71661.8298458224,12911.2886480157,15150.8133980879
151,3535579.72746948,2289720.69995768,366886.510396739,760595.383865818,0,26552.2179902819,59851.200053748,14365.9160352347,14325.3093741356
152,3660257.24724506,2431492.90577348,330491.95366817,776239.088339635,0,22009.7209666611,85620.2696950682,6658.23888185303,16858.4329877082
