Period,Total_IFE_expenditure,Total_pension_expenditure,Total_labour_income,Total_fam_benefits,Total_IFE_coverage,No_labour_or_pen_income_hh,IFE_ben_18_65,pop_18_65
93,609512.5596000002,3754397.0920671914,6298718.1769028995,560453.2294733166,0.3628624362383804,0.0,0,1770036
94,597853.72906,3705355.845907334,6204607.275648999,420855.12158816,0.36293983486661036,0.0,0,1728471
95,579910.7256600002,3675670.9806559635,6152121.545537637,427821.4359341434,0.35701651877178625,0.0,0,1698257
96,572120.7693600003,3591232.031739314,6134435.764200712,407121.9274659266,0.3597525711409049,0.0,0,1664425
97,553480.7457666667,3553417.148467813,6055198.7564827455,496908.98586594657,0.35561148823491573,0.0,0,1636811
98,555556.2355933336,3548184.719986507,5859873.61385292,398520.33455866337,0.36195735663060846,0.0,0,1621717
99,563138.2765400001,3513870.5771600716,5716890.014367737,400043.39240206,0.373879800991926,0.0,0,1579732
100,549208.8637933334,3500853.483607122,5496363.023043876,365565.49418742,0.3718555532760861,0.0,0,1539259
101,536279.6429666667,3453862.7517829114,5436037.897629816,451252.32761396334,0.3695015445919408,0.0,0,1523761
102,534261.8565200003,3380051.398011662,5385480.074554954,359400.3681494267,0.3766165200005337,0.0,0,1495033
103,518571.11679333367,3346506.724084962,5273911.207627593,335706.9845737634,0.3716418652362726,0.0,0,1472506
104,508211.0702666668,3307516.8384082993,5136512.696711576,296453.33686115674,0.37173305548841407,0.0,0,1451226
105,515705.1822533335,3284765.648677575,4999360.05334236,340180.61153186334,0.3834811894475805,0.0,0,1429994
106,491913.07116000017,3252742.3278575987,4945320.183938148,258678.30383513664,0.3727339046722982,0.0,0,1392649
107,486663.8954333335,3205510.0820610765,4702356.887756948,271043.25765785325,0.37517407925252727,0.0,0,1364723
108,458291.2350800001,3146379.7089188024,4646666.346411501,269801.6801642967,0.3602505092973251,0.0,0,1347197
109,467901.1376666669,3120674.6372124986,4533368.726598036,309231.77301082003,0.37388368328135707,0.0,0,1314244
110,450087.2799266668,3077211.316329505,4559179.239602845,216194.79324318003,0.3677395016759301,0.0,0,1293255
111,437482.2971400001,3039374.9653215813,4573588.199630616,215858.06635851003,0.36556570867919547,0.0,0,1267628
112,437346.73999333347,2994176.570640177,4491551.016048743,195624.28333580334,0.37165582454063356,0.0,0,1252962
113,417170.70738000015,2966323.268554655,4400759.02330439,222767.13788638334,0.3610234054489853,0.0,0,1242628
114,404861.56890666677,2932733.9715819107,4379715.769194601,173343.6000557833,0.35853399152394405,0.0,0,1237430
115,386667.6016000001,2872617.16123537,4112393.1731980788,154520.42944835,0.3511276575855244,0.0,0,1224530
116,376029.1133666668,2827444.11554056,4072044.6061041695,134996.27569624668,0.347228382473555,0.0,0,1218206
117,377806.0111000001,2734803.693583351,3904390.298533778,174783.34327134333,0.35728147290913764,0.0,0,1200149
118,366681.16580666666,2696489.9955894174,3848486.180887335,113468.27176910668,0.35455356355697076,0.0,0,1189078
119,348522.0037133335,2630157.615933621,3798705.1351893577,116590.78513292335,0.34606710895365206,0.0,0,1175504
120,336008.61359333334,2597244.7673529135,3786896.1714627994,95763.88195673999,0.3423962530602008,0.0,0,1151429
121,329968.99315333343,2579034.742073362,3669314.6533508785,113615.14180448331,0.3430080646954614,0.0,0,1126956
122,323107.7864933334,2533116.7985468335,3714839.512034215,92499.17883677,0.340685309916715,0.0,0,1098072
123,306411.35928666685,2478026.9577590455,3601384.380335387,90862.37762491667,0.33403140752116767,0.0,0,1062542
124,308704.8396600001,2453442.1146822376,3600125.649553691,87562.40267057998,0.34229188118655635,0.0,0,1039010
125,296948.00496666675,2423754.244414663,3545050.872374464,114558.07922578999,0.338031858672026,0.0,0,993639
126,283922.6118400001,2349336.763127329,3366855.8685164656,66567.81947842,0.3333611148153087,0.0,0,945637
127,264832.86825333344,2305538.2729004645,3487517.591913539,66605.59607198667,0.31866564704679456,0.0,0,923271
128,255834.80468000006,2232240.1200482203,3436574.3116560164,75318.93089689667,0.31699966807579266,0.0,0,895508
129,240574.55048666673,2195652.461479916,3402487.340489698,93670.35790554997,0.3043794650978764,0.0,0,857977
130,246147.96425333346,2183308.119911321,3180485.7661413266,74055.44825362666,0.31783125166757503,0.0,0,827003
131,245457.35554666672,2132376.4577120095,3047419.979933484,76640.73748453335,0.3234243300312371,0.0,0,798248
132,224560.48864666672,2080501.400852129,3000783.8145020343,71485.70132702666,0.3046410429363625,0.0,0,767693
133,210773.0445333334,2042842.3315744258,2963775.540926086,81683.05113015002,0.2945501470131852,0.0,0,737885
134,202909.81410000008,1990083.8085152267,2840703.626979132,56288.94710877,0.2916318881851361,0.0,0,705711
135,203019.72530000008,1963222.692469912,2829176.8262366657,49798.863093393324,0.2969515280793794,0.0,0,691408
136,194412.76241333337,1895050.1461198155,2720858.9193194574,41598.94014664667,0.2937725792709909,0.0,0,662423
137,197493.93972000008,1865124.4308142946,2616977.3448411017,59259.19093558334,0.30612729242866227,0.0,0,641375
138,201783.22430000006,1840221.8735852488,2562537.1436724947,47744.37651488999,0.3180373172546405,0.0,0,632465
139,186577.0097800001,1851444.505641854,2541372.535693345,41319.18046059333,0.30400825794123043,0.0,0,602280
140,177635.73366000006,1834830.5134152619,2430276.5521935453,34914.58432075001,0.2993081385716778,0.0,0,580451
141,168137.57412666673,1754000.8977295393,2353702.958184063,41748.467990036675,0.2926575729921493,0.0,0,568434
142,167296.75344666667,1745627.3865961637,2354694.761722366,35154.27326318667,0.29584168259803545,0.0,0,556894
143,154778.78369333342,1706222.3208272385,2235045.0546866064,21582.55868817666,0.284369087977247,0.0,0,523476
144,149922.5405066667,1681555.0353554972,2103920.222782015,26631.004424113333,0.2826666493276808,0.0,0,505417
145,144989.35948000004,1645645.0698563533,2035231.4489645832,34569.87884151667,0.28116404059286954,0.0,0,487184
146,143009.12602666672,1632911.4551675778,2000718.324406547,23513.95803185,0.28448222766653436,0.0,0,466008
147,131942.90004000007,1613899.6482076892,1959570.3370663342,25901.47548766,0.27166976586932634,0.0,0,448515
148,123631.78146666673,1612361.7199464783,1900303.096211235,24261.580734819996,0.2628973692351948,0.0,0,426857
149,120824.46623333338,1574659.9948416583,1828572.7326006,29982.144612103344,0.2635936480151902,0.0,0,411304
150,115432.4059466667,1534483.3809979719,1776083.4059907391,22706.87589891667,0.2627496102023864,0.0,0,399704
151,98537.22265333336,1508478.1826526348,1774199.2568466403,15009.279893956673,0.23526452285264224,0.0,0,383686
152,96031.24729333336,1441249.6991002306,1681955.705750473,15863.33085049,0.24161351237935375,0.0,0,363327
