Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
115,14941531.702456813,14121951.331965635,37382100.36445828,68997302.89828855,0.0,477856.74086205364,240164.36804220753,145084.65940988163
116,17385004.10705953,16559101.830478463,44236929.829375796,68782175.23257984,11463695.872096641,483060.5806326767,242868.8282102799,142818.3824830131
117,14937448.865322495,14126949.8793319,37440242.05822161,68913362.05416398,0.0,476861.69741425756,237646.69973002488,137129.41263758767
118,17577297.280659392,16771755.6726497,44888629.28047527,69510364.42926915,11585060.738211526,468459.99919356115,241231.3804223697,136928.89770537365
119,14996923.336431105,14181233.11943644,37584478.67405277,69189230.34011436,0.0,477292.8720240064,241460.69009990754,138480.93552964312
120,17376962.961056475,16572687.665226672,44274114.50967315,68806866.73486006,11467811.122476678,463416.38052757015,241979.71439888648,141256.00129049312
121,14832242.073541371,14044888.033110714,37173653.19776544,68626951.8357788,0.0,453908.01469635044,236183.04353488403,138947.1174277486
122,17321493.904423296,16539168.052858176,44253152.1272779,68634606.29863141,11439101.0497719,444173.2348796608,239430.8316307295,141031.1215067631
123,14925841.848894242,14143402.172467187,37518120.4355696,69011089.49448226,0.0,446404.731516436,238220.66318807125,139734.68817507086
124,17232962.271138582,16428367.684412044,43981810.051338546,68180280.54785666,11363380.091309443,458880.45789327123,244821.2017345821,144132.7529981302
125,14779194.885108817,13977112.55358206,37128344.33682226,68174631.63403484,0.0,459042.8764556396,241417.8803950103,145173.67810872564
126,17334883.78571787,16526593.698108448,44323227.892984666,68502536.61219595,11417089.435365994,463865.850616671,243376.21666297436,144354.3147568295
127,14758283.950679729,13945798.58126242,37081041.2609357,67977076.14226612,0.0,463362.67882893694,247847.33906639356,144679.07360282732
128,17139799.528921362,16347563.480823673,43913157.80437154,67702141.1123189,11283690.185386486,434381.5349352078,254263.3070296231,147987.437332653
129,14686336.422657833,13889943.162173932,36963381.63822614,67652664.22115785,0.0,437952.40390041895,253659.69139631622,149687.3788388097
130,17308781.644110028,16524198.750843342,44373903.16488173,68382843.26721637,11397140.544536062,429015.6884590722,251068.6053494434,149283.71351167175
131,14668872.47240132,13862960.08916856,36885800.761556625,67497490.3152889,0.0,433214.93350050034,262112.31282324682,157978.76701287372
132,17406714.389591653,16553256.237185834,44541727.0308254,68424098.10165286,11404016.350275476,489171.40210773447,256385.11633490468,154145.1913759675
133,14855250.299861506,13998506.553821703,37254473.70224119,68162090.1166036,0.0,496822.80376832944,252569.05820706466,153359.83437772404
134,17192532.95264686,16345003.850609599,43932958.29497186,67583069.26260482,11263844.877100803,492428.95699496125,249415.82967675425,150977.5933793502
135,14736079.997843903,13881749.848677691,36921728.22442663,67580946.2139395,0.0,501919.6878175774,249558.15716600927,146931.86311803598
136,17211446.635960855,16442511.495002741,44244838.37065688,67943772.27372612,11323962.045621019,424888.7080307449,243328.6215230505,143882.5877204501
137,14607756.50554937,13820893.585226454,36853441.3638762,67184237.45114361,0.0,440498.6542597369,245647.34285607826,143881.31886728885
138,17114586.82145431,16273156.570660071,43709925.898774154,67340230.74464825,11223371.79077471,484770.3257603705,251743.28872318074,149880.90901526614
139,14538071.82592621,13702231.649096915,36397222.732889526,66799551.990407206,0.0,473587.98466223176,255027.94604396945,153177.49446156368
140,17064546.452881027,16206019.982360391,43596238.50435222,66997980.243221916,11166330.040536985,503806.9857279826,250550.09276431805,148813.4171833331
141,14421150.651448343,13566143.304028105,36135691.99661458,66013096.440026306,0.0,494574.6216233396,256174.15544220502,148940.81479242287
142,16803846.553993095,15941866.574674651,42805454.211058535,66008353.771957904,11001392.295326315,495911.0898700052,259956.38957289004,151589.28553649873
143,14507361.569112044,13636927.255765436,36368146.04143045,66224104.96157538,0.0,512357.73918974213,254502.45668198765,147963.02496410816
144,16879840.85459093,16028680.92127264,43149262.55214156,66187143.07714713,11031190.512857856,482958.2818250724,261591.54948020677,152300.14573287382
145,14437458.214609548,13542213.428941311,36140336.58225876,65735012.18566195,0.0,513938.58611453645,269543.7694524103,159660.61443041655
146,16784340.12853787,15942743.160788607,42906243.439998955,65856328.95411008,10976054.825685015,470827.30417150666,262432.4666751854,154767.42414653313
147,14399381.241424525,13539521.994847368,36132946.37742393,65795378.83623754,0.0,478835.3671389091,269908.68559285515,158735.99120770348
148,16869345.9963998,16034964.788431196,43171616.816228904,66272230.030235216,11045371.67170587,466194.76829982235,261085.02427333535,153002.02199349593
149,14399960.379207054,13558720.716236344,36202721.27645879,65853233.74317159,0.0,470883.4340083846,261994.68866514333,154802.20042454408
150,16795873.29577307,15972932.681193864,43030402.237686545,65974784.55405851,10995797.425676417,449830.4489760757,262421.2185876552,158127.0671649705
151,14349440.10550238,13514490.175677104,36064694.757831275,65661904.51950684,0.0,470015.7324540777,257418.77345360268,153593.4627394235
152,16796707.50287008,15968191.074944874,42967464.77028791,65962431.57191458,10993738.5953191,456870.77554127626,261469.6906242902,157394.23108520213
