Period,"Gini insee, all income","Gini insee, labour income","Gini insee, labour and pension income","Gini insee, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini insee, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini insee, measure IFE impact","Decile ratio, measure IFE impact","Top 10%, measure IFE impact","Bottom 10%, measure IFE impact"
86,0.44035657988904087,0.45445646228038838,0.39062990915649404,0.42768656354865781,23.806272345138492,10.249434200496555,7.918125808794364,8.39709169855178,0.24328137491370505,0.26269450936202493,0.26135381823048204,0.24268063928739295,0.00867133673849729,0.0001208450748738906,7.7045563436953e-05,0.0001114854015175494,0.53976035646194742,22.403046450631603,0.2540950425312152,0.014110399766533352,0.58107009466575077,22.403046450631603,0.25408968771254037,0.00011688667346293687
87,0.4447535043541076,0.46137487466701765,0.39310588589849205,0.43691902671221833,24.428197390145307,10.899865814171553,7.998832676643221,8.979810444314442,0.24512284752207233,0.28414350418730955,0.26238993776620123,0.2640372862760068,0.008484747793039258,0.00011588759482543809,7.501095189278895e-05,0.00010758097265082498,0.54789551208043341,23.888141063185444,0.2751831336308193,0.013574557471359243,0.58798108251009118,23.888141063185444,0.27518339206857584,0.00011223322360982229
88,0.44343535397412109,0.45463701038449217,0.3896134707879389,0.42731907646661882,24.080956816214528,10.756781271961616,8.281268988845035,8.476842711258772,0.2439319953419397,0.278476330233421,0.2615694139052945,0.2582763340107975,0.009100330340123256,0.00014814960568953483,9.447463608848366e-05,0.00015435461346469546,0.54352713211146364,22.531704284469857,0.26906590019735416,0.014742038234968873,0.58603033674637328,22.531704284469857,0.26906613194791545,0.00014314337351070146
89,0.44318440487199912,0.45977695379420913,0.38951726442854062,0.43016499742536574,24.376892304855886,11.168803447436533,8.072903105212184,8.92420501490361,0.2486922996058046,0.29304452742233117,0.26890962358705506,0.2683713722003646,0.008991165047963235,0.00012194972641886912,7.814016680445441e-05,0.00019998502435541283,0.55268946009860231,23.621539154817494,0.2831802446363547,0.014557436704007533,0.59427366251412383,23.621539154817494,0.2831806140593853,0.00011784488424143077
90,0.44144928073077438,0.45244843488008585,0.38980514152771922,0.42385211704415465,23.806272345138566,10.671301708078486,8.394436949798616,8.502396103540555,0.24041335802943845,0.2600352180357212,0.25838157168842074,0.24028181509371754,0.009010077675330196,0.0001031254119155442,6.452958906630652e-05,9.526307348713458e-05,0.53983303182324127,22.41864483485659,0.2507795029333085,0.014884782464535298,0.58342324888226105,22.41864483485659,0.2507797514897062,9.945485602992866e-05
91,0.43983399491766129,0.45386196709749116,0.38619303839923969,0.4266555306116781,24.46823372436096,10.541000120180815,8.096648027262024,8.303058091309124,0.2412886557546191,0.2773594909108765,0.2586406956865866,0.2572306704537843,0.008934515897137575,8.955563753311013e-05,5.6767143064743775e-05,8.29449342281618e-05,0.54340426773877593,23.638280760119496,0.2679795671190054,0.014572794015003035,0.58477465092813496,23.638280760119496,0.2679796163093692,8.652700257578487e-05
92,0.4396204480875236,0.45480785129046081,0.38897497381611273,0.42522859932073453,23.806272345138684,10.298853591889708,8.274503154288393,7.945397212900129,0.25270681277702406,0.28145748885604066,0.27144700340204003,0.26023785440294434,0.009018949870898607,1.975466886614197e-05,1.2080516301279708e-05,1.8255244521149582e-05,0.54113053780920173,22.56791187068584,0.2713044506677404,0.014983791161193229,0.58411143904858676,22.56791187068584,0.2713045559109967,1.9042064525199835e-05
93,0.43924873924166896,0.4518789934543444,0.38851906131844927,0.42021906165458323,24.645286649516017,9.759678936145207,8.122716326449586,7.845087929719527,0.24220772557548165,0.2894054934979217,0.2623424836192013,0.26408590917809016,0.008896917959382977,2.8212938361178162e-05,1.7639032615547966e-05,4.8595340816882696e-05,0.54354449033811758,23.353145764707076,0.2792456589941448,0.014768340262080067,0.58589213584862043,23.353145764707076,0.2792458683359573,2.722251874266033e-05
94,0.44314357645000213,0.45729801812587539,0.39112465670435337,0.43271424012608734,24.049333134659587,10.527095587792434,8.486710027460422,8.498179637761112,0.24151230631639928,0.28263346725922117,0.25912149786671135,0.26157691064606614,0.009147832775212809,3.925086411474961e-05,2.4181022849238358e-05,3.631413529033725e-05,0.54361216782462995,23.01587393182704,0.272421937650643,0.01530771967275272,0.58760132400478071,23.01587393182704,0.2724221584134428,3.783276349196743e-05
95,0.44207630793275515,0.45272873256494622,0.38875587479275026,0.43024077432233981,24.79686713343025,10.601690595838502,8.330518817637316,8.839437692267525,0.24335556187795696,0.28957372621627875,0.26015056105608203,0.26968990370932294,0.00892141516642181,2.094123240172616e-05,1.2946705512084378e-05,1.9291861221121882e-05,0.54268727948873285,24.312064550398983,0.27926061549511194,0.014746893351513789,0.58533544689478978,24.312064550398983,0.2792607797388739,2.0195426448431227e-05
