period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
95,23158786.7301052,22207876.0252016,23252140.2826029,22295190.7788292,16819352.4278512,5388523.59735049,16924004.2231807,5371186.55564852,1299925.27763318,1260927.51930419,0,0,0,0,0,0
96,23426285.0666052,22462790.0552142,23522754.7832844,22553032.1620902,16983144.9935505,5479645.06166364,17090797.0890458,5462235.07304437,1343465.6462885,1303161.67689984,3903896.46838325,3681856.98275637,3919914.16861142,3696854.73699979,223910.941048083,217193.61281664
97,23703398.8319521,22727415.1746377,23801929.890596,22819601.8225847,17130210.2831811,5597204.89145661,17239608.984241,5579992.83834375,1426181.83206425,1383396.37710232,0,0,0,0,0,0
98,23980334.7770904,22992143.1377226,24080227.4271549,23085629.7728415,17246897.3421805,5745245.79554204,17357052.8538027,5728576.91903885,1474019.91506432,1429799.31761239,3995583.05858633,3768692.05533017,4012176.32247431,3784235.35116213,245669.985844053,238299.886268731
99,24208740.5623558,23208834.420651,24310252.2133367,23303856.5181574,17353806.7941045,5855027.62654649,17465070.2326765,5838786.28548082,1547125.83195898,1500712.05700021,0,0,0,0,0,0
100,24410584.0123492,23401617.5571596,24513342.9939386,23497810.6977842,17489289.762546,5912327.79461362,17601783.2010187,5896027.4967655,1634335.20739575,1585305.15117388,4064290.23469577,3833325.30956929,4081363.50432623,3849322.04203751,272389.201232625,264217.525195646
101,24576728.212385,23560704.5372385,24685945.5004224,23663128.4585487,17601314.8132452,5959389.7239933,17714876.0798234,5948252.37872534,1726315.49368112,1674526.02887069,0,0,0,0,0,0
102,24755695.4062471,23731724.0773786,24865205.2955799,23834441.468914,17723141.2611863,6008582.81619237,17836408.4760728,5998032.99284117,1806498.10658888,1752303.16339121,4121063.03808592,3887479.86155647,4139293.18344362,3904595.16356998,301083.017764813,292050.527231869
103,24875966.7820465,23845936.2268286,24986973.7558028,23950065.8315001,17793876.5139601,6052059.71286849,17908400.4526653,6041665.37883483,1862599.14086204,1806721.16663618,0,0,0,0,0,0
104,25030099.2176322,23993296.247179,25142136.941422,24098408.0610909,17890183.6293227,6103112.61785624,18005110.6534449,6093297.40764604,1953016.25979452,1894425.77200068,4166111.36193552,3930018.42709827,4184766.09105849,3947536.8254512,325502.709965753,315737.628666781
105,25178296.8703515,24134552.4051861,25289146.62441,24238547.4561233,17968922.878478,6165629.52670816,18082736.5680969,6155810.88802647,2022081.16552532,1961418.73055956,0,0,0,0,0,0
106,25214874.3525742,24169872.6512625,25328719.0599892,24276749.3646548,17982868.9315488,6187003.71971378,18096533.7966348,6180215.56802009,2071690.43604831,2009539.72296686,4196720.38756225,3959313.97013244,4215675.68966824,3977114.42086236,345281.739341385,334923.287161143
107,25353814.7819064,24301923.4088629,25468178.6272542,24409287.9542633,18060549.6606475,6241373.74821546,18174710.150936,6234577.80332738,2145188.12790277,2080832.48406568,0,0,0,0,0,0
108,25411688.3312449,24358413.1265677,25526087.0180507,24465825.3599304,18043094.2293007,6315318.89726696,18156822.1021654,6309003.257765,2229329.52724284,2162449.64142556,4228785.37192219,3989958.2512479,4247835.63698378,4007850.52283449,371554.92120714,360408.273570926
109,25509281.0943096,24451063.3917589,25622666.4271874,24557523.2255702,18105739.6772057,6345323.71455313,18218517.3339981,6339005.89157212,2293734.8046014,2224922.76046336,0,0,0,0,0,0
110,25677736.9435476,24611140.0697932,25792208.0660745,24718634.3659922,18206968.8350641,6404171.23472907,18320334.0514782,6398300.31451399,2351694.77932364,2281143.93594393,4272839.06128753,4031859.89051264,4291903.87829217,4049768.21887188,391949.129887274,380190.655990656
111,25756458.4207845,24686029.6873654,25871589.7657964,24794148.6170587,18297932.1773332,6388097.5100322,18411928.7473091,6382219.86974959,2376811.58855118,2305507.24089465,0,0,0,0,0,0
