period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
95,24004072.0371652,23012379.7369352,24103381.8290233,23105278.0049189,17320356.2280403,5692023.50889492,17431122.7065771,5674155.29834179,1294435.15834944,1255602.10359895,0,0,0,0,0,0
96,24164555.8363801,23165000.9751191,24265905.3297352,23259815.8368621,17433987.9033092,5731013.07180993,17546699.6058923,5713116.23096987,1337090.74601978,1296978.02363919,4025162.60167378,3795791.09896373,4041991.50971773,3811550.69304108,222848.457669964,216163.003939865
97,24324788.2195719,23317312.927076,24427056.0572787,23413000.9234304,17503039.1519196,5814273.77515642,17616308.0544765,5796692.86895391,1441050.9121616,1397819.38479675,0,0,0,0,0,0
98,24564399.1207307,23544723.7712138,24669024.1342041,23642648.9736177,17618195.7541479,5926528.0170659,17733011.1797695,5909637.79384827,1475619.47505697,1431350.89080526,4089413.8085513,3856196.27336362,4106794.23441469,3872479.72677229,245936.579176161,238558.481800876
99,24709083.7746464,23682069.7095378,24814626.3702861,23780873.5273523,17749098.2300012,5932971.47953656,17864277.2781724,5916596.24917983,1517681.11907341,1472150.6855012,0,0,0,0,0,0
100,24824363.5008195,23791172.5542699,24929984.8692127,23890049.7740459,17804192.098713,5986980.45555697,17919470.5344817,5970579.23956421,1596849.99197989,1548944.49222049,4132416.65120037,3896958.84890703,4149965.93126166,3913404.36373885,266141.665329982,258157.415370082
101,24911944.6362135,23874800.3471454,25025574.4110427,23981366.9793822,17887645.6793549,5987154.66779054,18005400.2154039,5975966.76397838,1678555.37821904,1628198.71687247,0,0,0,0,0,0
102,25008595.1424081,23965935.2971391,25122993.2682619,24073243.008102,17907393.2638585,6058542.03328058,18025283.2847536,6047959.72334841,1754962.77604315,1702313.89276185,4164791.3974053,3928465.82853376,4183835.48408799,3946347.49220416,292493.796007191,283718.982126976
103,25190420.8937262,24139466.961121,25305657.9683611,24247569.8697818,17970072.3659856,6169394.59513534,18088606.1365904,6158963.73319143,1822806.61042024,1768122.41210764,0,0,0,0,0,0
104,25258590.9214173,24204627.4580365,25374026.1414715,24312934.6242202,18017864.9213239,6186762.53671262,18136026.1419572,6176908.48226303,1913088.4502824,1855695.79677392,4203550.13263779,3964956.71645913,4222771.4842843,3983010.01477576,318848.075047066,309282.632795654
105,25490269.5440203,24426320.9889553,25607355.6979857,24536179.7973879,18168386.9175935,6257934.07136184,18288111.2783468,6248068.51904111,1994885.85426213,1935039.27863426,0,0,0,0,0,0
106,25649397.7205138,24578172.5975627,25770454.2031243,24691830.8347807,18257597.9366521,6320574.66091061,18378083.516785,6313747.31799565,2068425.35374002,2006372.59312782,4268422.96288693,4026583.27285749,4288580.69473189,4045516.25361067,344737.55895667,334395.432187969
107,25799390.5595132,24720684.3459873,25921235.1195286,24835083.2491695,18343415.6994168,6377268.64657056,18464652.6713612,6370430.57780835,2117195.43507527,2053679.57202301,0,0,0,0,0,0
