period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
95,27743237.7736451,26599802.7319976,27853425.1626288,26702852.1648579,19955718.7515644,6644083.98043316,20079592.9118699,6623259.25298803,1566139.1364519,1519154.96235835,0,0,0,0,0,0
96,28681707.9015452,27499122.6657297,28796852.6792227,27606815.2788216,20612819.5121674,6886303.15356231,20741946.1249203,6864869.15390136,1669083.50485893,1619010.99971316,4776195.93020069,4503980.86582819,4795311.63804305,4521877.61743323,278180.584143155,269835.16661886
97,28269161.2149993,27102284.102108,28383824.4801345,27209545.7132042,20262685.8583667,6839598.24374133,20390615.9633386,6818929.74986559,1712225.81653622,1660859.04204013,0,0,0,0,0,0
98,28990276.1921515,27793482.625841,29108260.2203001,27903880.6039352,20706106.4761006,7087376.14974048,20836783.5340975,7067097.06983773,1839019.23840733,1783848.66125511,4827952.40113301,4553718.21049309,4847547.88369888,4572076.41044058,306503.206401222,297308.110209185
99,28654367.1629443,27470009.5158285,28771492.3734983,27579628.5788994,20421134.1781182,7048875.33771037,20550048.8362659,7029579.74263348,1848789.78431517,1793326.09078571,0,0,0,0,0,0
100,29403985.3670847,28188413.9335121,29523465.6096536,28300235.9575407,20926965.6057424,7261448.32776973,21058517.3794277,7241718.57811305,2000855.12530171,1940829.47154266,4896681.11944583,4619010.356209,4916529.20175994,4637605.01839752,333475.854216951,323471.578590443
101,29052763.894698,27850528.3328367,29179222.9768799,27969108.7317658,20611730.9509394,7238797.38189735,20743522.5124097,7225586.21935611,2040961.04824876,1979732.2168013,0,0,0,0,0,0
102,29696992.4630113,28467273.3046091,29826446.5922654,28588686.2134827,21069678.1574519,7397595.14715721,21203840.0646267,7384846.14885597,2210137.83443204,2143833.69939908,4949233.90608868,4669802.97032965,4970782.57870301,4690033.87568292,368356.305738674,357305.616566513
103,29301376.1525609,28086664.8044838,29428589.4029813,28205983.6300815,20750693.8472371,7335970.95724667,20882345.9897237,7323637.64035782,2227145.47975937,2160331.11536659,0,0,0,0,0,0
104,30068101.7211777,28820710.3934516,30200046.4719173,28944492.955782,21273197.9024497,7547512.49100187,21408881.6129831,7535611.34279892,2392512.40147273,2320737.02942855,5010937.76774699,4728357.19499672,5032906.71372845,4748987.91002166,398752.066912122,386789.504904758
