Period,90_100_dec,80_90_dec,70_80_dec,60_70_dec,50_60_dec,40_50_dec,30_40_dec,20_30_dec,10_20_dec,0_100_dec,count_100_dec,count_90_dec,count_80_dec,count_70_dec,count_60_dec,count_50_dec,count_40_dec,count_30_dec,count_20_dec,count_10_dec,count_0_dec,count_all_cont_pen
77,12245.09543535466,7389.4495625073914,6047.6762016319053,4703.2791740704133,3536.7412324242596,3124.5411828440283,3124.5411828440283,3124.5411828440283,2884.8477848068451,23.14540845139004,111413.0,394832.0,355211.0,305530.0,247994.0,196740.0,0.0,0.0,1161116.0,423146.0,0.0,3195982.0
78,12465.33269857326,7530.6738786874748,6147.7673907909211,4836.4710742280877,3630.1529805969612,3179.1445830758021,3179.1445830758021,3179.1445830758021,2940.8673589180544,23.856786025730116,109234.0,400371.0,357569.0,217553.0,319540.0,212207.0,0.0,0.0,1146734.0,421439.0,0.0,3184647.0
79,12755.393703522275,7684.6007936489432,6374.2189812563383,5144.2661854211638,3728.4332314851354,3228.0599673504148,3228.0599673504148,3228.0599673504148,2997.1852660319469,24.399575339693165,107693.0,367455.0,354096.0,258391.0,326147.0,204857.0,0.0,0.0,1128894.0,418098.0,0.0,3165631.0
80,12974.947244443427,7817.7931913849388,6506.664583474253,5264.6162212733507,3786.97045233061,3277.8508763340565,3277.8508763340565,3277.8508763340565,3048.8949687743352,24.829459480347257,107412.0,370150.0,326317.0,291854.0,331091.0,202984.0,0.0,0.0,1119100.0,418378.0,0.0,3167286.0
81,13210.689346226114,8106.6897289999451,6674.7103109937616,5444.3466813545165,3903.9399481894434,3328.5832920879998,3328.5832920879998,3328.5832920879998,3106.3186772498316,25.103368166702946,107114.0,359497.0,314499.0,309520.0,322618.0,221936.0,0.0,0.0,1084274.0,438919.0,0.0,3158377.0
82,13470.145309304351,8270.0987080756495,6803.73239192248,5614.0577289431221,4013.5379121106398,3377.2577319004417,3377.2577319004417,3377.2577319004417,3158.8967740616417,25.239188920831861,108858.0,359454.0,323997.0,303701.0,339757.0,211749.0,0.0,0.0,1067550.0,439990.0,0.0,3155056.0
83,13706.48323940923,8441.9985570445933,6904.8931843695591,5698.2044393515534,4136.4815711443571,3425.254288026731,3425.254288026731,3425.254288026731,3203.8458650500152,24.28396924855193,108304.0,358688.0,327301.0,304290.0,344903.0,213798.0,0.0,0.0,1053814.0,443064.0,0.0,3154162.0
84,13915.922193718507,8578.724740177413,6998.0474804131127,5832.3966456375756,4291.2002114928246,3472.8279954460022,3472.8279954460022,3472.8279954460022,3260.6365166369542,26.089429579382102,107242.0,362149.0,338167.0,305102.0,280945.0,285583.0,0.0,0.0,1039552.0,443013.0,0.0,3161753.0
85,14065.735900086207,8696.2399280821337,7104.4901929570096,5938.0611709895293,4352.9802017715829,3511.6219762767687,3511.6219762767687,3511.6219762767687,3305.2939737122615,26.149620444894857,104466.0,364615.0,344188.0,302677.0,287959.0,281143.0,0.0,0.0,1026541.0,443201.0,0.0,3154790.0
86,14281.854566270025,8815.1512286271536,7194.0967496152725,6021.6356937247574,4399.353150510201,3547.8188310604282,3547.8188310604282,3547.8188310604282,3339.7954525386272,25.109056921005028,104371.0,362258.0,277683.0,382371.0,289817.0,278967.0,0.0,0.0,1009428.0,444336.0,0.0,3149231.0
87,14420.479071472029,8924.1302943882583,7287.5013524739506,6129.1385610234447,4537.0121748734437,3597.3019359888845,3597.3019359888845,3597.3019359888845,3382.2661919937686,25.328173600687919,105223.0,358410.0,283713.0,380820.0,294698.0,263790.0,0.0,0.0,1007092.0,448930.0,0.0,3142676.0
88,14563.384113454749,9067.7134178268898,7383.959862887823,6229.4352016383637,4585.5177928598077,3632.9630171500598,3632.9630171500598,3632.9630171500598,3403.7285415990305,25.62637675836071,103449.0,364645.0,283586.0,394722.0,301418.0,258389.0,0.0,0.0,995878.0,444699.0,0.0,3146786.0
89,14673.185696211924,9179.243982191907,7471.7257043119407,6318.0637441078707,4685.3150046831861,3677.127827418667,3677.127827418667,3677.127827418667,3429.2169045040387,27.328455310227387,104874.0,365923.0,281733.0,397717.0,287173.0,271020.0,0.0,0.0,994434.0,441788.0,0.0,3144662.0
90,14801.083598973477,9267.5448070299135,7542.6273862362295,6379.472758479591,4736.8427304950919,3710.5089549387048,3710.5089549387048,3710.5089549387048,3452.8992131441114,27.611602661864094,105825.0,367716.0,281308.0,402239.0,290645.0,268430.0,0.0,0.0,993645.0,439521.0,0.0,3149329.0
91,14912.916530181943,9387.8695380886329,7632.3458907347531,6680.7232649175057,4969.1609192947317,3741.9681105473001,3741.9681105473001,3701.8079382028291,3469.0115605373394,27.843609070557591,110123.0,367723.0,282675.0,335866.0,347684.0,288678.0,0.0,802900.0,195517.0,440647.0,0.0,3171813.0
92,15021.741892768387,9530.6318794424242,7740.2726991128366,6833.3511000561275,5089.2782954471431,3785.2477356320246,3785.2477356320246,3733.7468191911139,3491.5869902269083,27.90008317203106,109180.0,368889.0,284557.0,330128.0,350803.0,293345.0,0.0,785783.0,201255.0,431541.0,0.0,3155481.0
93,15192.268332643258,9668.1865169329103,7853.931161403566,6933.8341946255614,5163.2096638798148,3831.192868553147,3831.192868553147,3778.1578207378948,3523.9787803753652,28.464060651780319,112807.0,370327.0,280266.0,331277.0,335601.0,306305.0,0.0,772880.0,210228.0,431614.0,0.0,3151305.0
94,15412.855116620371,9848.8159155156609,8000.3443170247028,7102.5766095396812,5335.2370278493763,3908.9760037764622,3908.9760037764622,3828.7789580729295,3558.6323841861599,28.742134637887389,112139.0,376150.0,250580.0,363670.0,328477.0,274272.0,0.0,788345.0,233177.0,413782.0,0.0,3140592.0
95,15598.342844129305,9962.32718716214,8101.976533529064,7198.9332155372749,5393.5753646157636,3953.1616128287305,3953.1616128287305,3869.4437340916575,3590.848839542683,29.034580783925996,112918.0,376396.0,252911.0,359858.0,326875.0,284300.0,0.0,779219.0,237386.0,416470.0,0.0,3146333.0
96,15804.29147007057,10103.085654580229,8228.1512980410098,7312.1973228137431,5468.8263005753633,4002.8640375048553,4002.8640375048553,3916.5566884706564,3616.1099750813514,29.105876709401095,113372.0,375272.0,256745.0,359042.0,332179.0,290104.0,0.0,785299.0,231692.0,410974.0,0.0,3154679.0
97,16369.452424057843,10303.126063403883,8254.9718823645781,7335.5929282583829,5498.767408972456,4016.2809304513326,4016.2809304513326,3927.5412753507608,3623.3283021269413,30.952857432218533,100438.0,368635.0,276206.0,362538.0,328506.0,294844.0,0.0,767202.0,240046.0,407196.0,0.0,3145611.0
98,16447.863912119039,10377.207742103696,8312.3383635578739,7393.0542645035148,5548.9263209323926,4040.8743905529068,4040.8743905529068,3949.4442068515073,3633.9175765683813,30.994433635491223,99195.0,371074.0,275357.0,363158.0,326379.0,298121.0,0.0,740549.0,250558.0,405921.0,0.0,3130312.0
99,16632.81746866598,10478.275216165877,8393.6407990896878,7475.3859303981862,5628.9143527893229,4078.33662681552,4078.33662681552,3984.3371524192075,3662.9754981921287,31.174372552133867,99036.0,371691.0,275025.0,364665.0,331883.0,299935.0,0.0,725253.0,261703.0,404852.0,0.0,3134043.0
100,16742.379828838304,10555.219475967437,8461.1905560341456,7560.081646428428,5691.4412902465028,4109.0371333507037,4109.0371333507037,4014.6303925473526,3684.4409410142798,31.243358525357579,98555.0,370813.0,277962.0,357057.0,337676.0,294983.0,0.0,712878.0,279402.0,404145.0,0.0,3133471.0
101,16865.861403268154,10611.52340857685,8511.1913121806811,7603.1006942538925,5730.2769341780358,4132.6367027892265,4132.6367027892265,4036.3746250801823,3699.6116521175654,31.710395825952983,98051.0,370294.0,277857.0,356733.0,337691.0,297998.0,0.0,699102.0,288710.0,401851.0,0.0,3128287.0
102,16961.159635784057,10693.033429331361,8578.8408185316093,7679.371793663734,5949.1387190088162,4222.651307459435,4222.651307459435,4057.0526634460689,3713.0620086551558,31.888201425375556,97195.0,369462.0,282264.0,349203.0,325153.0,324010.0,0.0,682352.0,297982.0,400081.0,0.0,3127702.0
103,17095.618356161965,10774.776136720697,8658.006342516197,7768.1128881416716,6009.4320544193642,4250.1239111694649,4250.1239111694649,4075.6415011816289,3725.1435739986837,31.883717227367718,95862.0,367933.0,282825.0,350602.0,326230.0,325988.0,0.0,668380.0,305852.0,397504.0,0.0,3121176.0
104,17156.380534883116,10860.355267782719,8707.3742451814196,7808.9473683411215,6111.4828184325479,4288.2159607491749,4288.2159607491749,4098.1271353696229,3738.3014117748289,31.933488139463009,95802.0,369460.0,290401.0,353485.0,325254.0,333598.0,0.0,653854.0,308206.0,395015.0,0.0,3125075.0
105,17274.341419118056,10923.449265930643,8781.8356829753484,7926.612727079867,6248.7739827066653,4339.1454899736818,4339.1454899736818,4119.7426889839808,3753.3666137966006,31.949037301495814,93187.0,374085.0,286688.0,350927.0,275244.0,385751.0,0.0,652955.0,314819.0,393411.0,0.0,3127067.0
106,17298.807832131566,10956.792695406628,8840.9696613615906,7982.1363653581775,6259.3221124777501,4353.4627032476365,4353.4627032476365,4134.5012295445467,4068.8435299913726,122.19225197011836,94443.0,372855.0,275143.0,353335.0,284620.0,384436.0,0.0,640095.0,240498.0,482112.0,1229.0,3128766.0
107,17255.281389430878,10951.116482447806,8857.4978296299832,7988.0346751774014,6259.7229068055276,4370.5079257264551,4370.5079257264551,4148.1314291667586,3765.2670404232763,33.909529795596505,94941.0,375005.0,279488.0,349829.0,286310.0,381031.0,0.0,633770.0,349556.0,392240.0,0.0,3142170.0
108,17269.41977778446,10972.40060928407,8875.128624577439,8002.6646433279957,6284.767335442124,4389.8400904177979,4389.8400904177979,4155.6896881808616,4088.8650084053161,127.57193287279694,98932.0,372096.0,277155.0,348543.0,290750.0,387162.0,0.0,620406.0,267536.0,480048.0,1229.0,3143857.0
109,17300.263606983,10981.386393321567,8879.963380942072,8020.8138551326247,6304.5485296014604,4404.9736442048179,4404.9736442048179,4164.7190993605382,4096.5753911295233,129.57219601141011,98727.0,371815.0,277653.0,346731.0,290907.0,395512.0,0.0,610707.0,258238.0,488030.0,882.0,3139202.0
110,17319.6487912669,10986.304731894736,8892.3091870000553,8036.3332803987278,6308.1551949824552,4420.6327499288309,4420.6327499288309,4172.8619965570615,4108.163842125532,130.93380998292571,97225.0,372041.0,278322.0,346642.0,296499.0,395951.0,0.0,598117.0,289276.0,467895.0,882.0,3142850.0
111,17412.130444276721,11026.083718123613,8919.5759233363315,8084.1824350181241,6395.1831410943378,4456.9456139370513,4456.9456139370513,4183.9400435863417,4126.3052124623327,135.72105946588803,98126.0,368368.0,281679.0,348616.0,291585.0,405020.0,0.0,583706.0,283600.0,476543.0,761.0,3138004.0
112,17443.064386015427,11069.433942844154,8964.9320447486934,8124.8499907394807,6443.8145007742642,4486.3986242732808,4486.3986242732808,4202.1146596439339,4143.6078896379295,138.48546998803494,99693.0,364137.0,287134.0,345913.0,297791.0,403247.0,0.0,575357.0,274574.0,490594.0,761.0,3139201.0
113,17465.833003540545,11089.404676296645,8984.6157247261472,8148.4550327751567,6467.1646577718402,4511.3017277683648,4511.3017277683648,4214.7542675982277,4156.8739059099935,140.82664382465734,100664.0,362475.0,285583.0,346960.0,295565.0,406632.0,0.0,627207.0,234995.0,475641.0,761.0,3136483.0
