Period,"Gini per capita, all income","Gini per capita, labour income","Gini per capita, labour and pension income","Gini per capita, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income"
82,"0,394233845","0,4352100762","0,3964127117","0,4317322097","7,267349258","9,7172984892","7,8681740831","8,8566429207","0,1969722334","0,1910391444","0,2029479332","0,1835530168","0,0585226853","0,0578432554","0,0448794204","0,0754920189"
83,"0,3941869162","0,4415971775","0,3963992812","0,4388005138","7,5114580833","10,5869887552","8,1451363493","9,8432362246","0,1946609239","0,1896137683","0,2012994464","0,1812349411","0,0554995579","0,0510545266","0,0395226039","0,071952708"
84,"0,3927271009","0,4421623523","0,3946518286","0,440785344","7,1393878194","10,1204260909","7,8176312703","9,9604619257","0,1933689405","0,1882238047","0,1993258059","0,1806957006","0,0523775627","0,0509045571","0,0389834062","0,0683529919"
85,"0,3910456408","0,44058628","0,3966704639","0,4321762174","6,8164660774","9,6960521009","7,9111442149","8,9465617337","0,1915160425","0,1911875628","0,1989649047","0,1816235876","0,059456147","0,0556225567","0,0427388962","0,077315188"
86,"0,3924169832","0,4342748348","0,3941364057","0,4349343818","7,0766954968","9,2642829654","7,3801060763","9,4661693768","0,1971723286","0,190584796","0,2025788463","0,1837095051","0,0545020676","0,055644632","0,0430204166","0,0707085354"
87,"0,3926469005","0,4335571523","0,3923125725","0,4359564767","7,4878088284","9,9920335013","7,5510331326","10,2273256443","0,1998945121","0,196091981","0,2056671064","0,1886854174","0,0514710244","0,047349271","0,0371449822","0,0662420446"
88,"0,3932461859","0,4373836911","0,3951815729","0,435442765","7,1381554575","10,0178503496","7,5142947694","9,1596798199","0,2009128933","0,1946003621","0,2067349847","0,1871799667","0,0539479473","0,0529927932","0,0409210825","0,0701703411"
89,"0,3912188943","0,4354563749","0,3944969137","0,4325383339","6,7913922652","9,6060550702","7,0516155725","9,2801742473","0,2040882695","0,2008852863","0,2105250341","0,1925606784","0,0579781556","0,0569750314","0,0439012663","0,0755120076"
90,"0,3947750999","0,4388464696","0,3950202753","0,4383496634","7,3075106038","10,0937652429","7,3267383617","9,5405705847","0,2056670119","0,2000294932","0,2110975354","0,1929715131","0,0548889223","0,0551832777","0,0421875213","0,0721454934"
91,"0,3953014836","0,4425198718","0,3965474715","0,4427376553","7,1825610297","9,6875352109","7,5320319756","9,5997116293","0,2085235786","0,2074459115","0,2137694109","0,2004096582","0,0586603707","0,0644056407","0,0479826368","0,0786073924"
