Period,Gini sedlac. all income,Gini sedlac. labour income,Gini sedlac. labour and pension income,Gini sedlac. labour and family benefits income,Decile ratio. all income,Decile ratio. labour income,Decile ratio. labour and pension income,Decile ratio. labour and familiy benefits income,Top 10%. share of all income,Top 10%. share of labour income,Top 10%. share of labour and pension income,Top 10%. share of labour and familiy benefits income,Bottom 10%. share of all income,Bottom 10%. share of labour income,Bottom 10%. share of labour and pension income,Bottom 10%. share of labour and familiy benefits income
80,0.395320787688951,0.462222612409645,0.411833229704908,0.444119493782076,7.02952296993428,11.7214873263381,8.66662851759956,9.46039096046307,0.228086937789202,0.259121505728012,0.237818961706888,0.24427011874015,0.041239915828564,0.035485148519968,0.030029073704318,0.050874342226887
81,0.388175652212854,0.460718997844076,0.407753346005504,0.436783898173756,6.60175706447848,11.924793539938,8.38812811312456,8.89193127909676,0.22546715403182,0.258841678147099,0.2376063433991,0.240293253913563,0.041923341426219,0.033332846055546,0.029216472284695,0.050860045534719
82,0.390684025454733,0.460006994428438,0.406003485324876,0.440596550740172,6.91924679753885,11.6480775085657,8.54994968533794,9.16831667336059,0.222529900787763,0.251646076987244,0.232112261940062,0.236995007344766,0.039678496113068,0.03510398839198,0.029366677594371,0.049313570869921
83,0.390247710323662,0.46537168938,0.405665951629682,0.44674020927517,6.89957465696017,11.6839010527584,8.54554674262385,9.48767229232425,0.22328948133119,0.257594183409831,0.232580030514555,0.243009208382602,0.041735527488228,0.037582542453034,0.031673462416045,0.051510648551941
84,0.389842443495334,0.46108674422367,0.404301044472734,0.44355885707269,6.97029505132437,10.9419662384686,8.41953050153134,9.18026734579586,0.217765208096666,0.248615371837961,0.226653788353166,0.234819252555398,0.040204073179883,0.03539114165611,0.031179896576502,0.047926674651246
85,0.391019657513976,0.467104517661555,0.409289791805142,0.443811843682968,6.85982176265017,11.6840756350366,8.46467654282538,9.21903015533278,0.218220311978371,0.252945718716124,0.229471531790369,0.23552021911071,0.038059658603415,0.032545105542288,0.028358536235911,0.045888028818719
86,0.390150752634152,0.461177521285588,0.405227327178605,0.441974126263481,6.95014792105409,11.0364825581,8.46217319734186,9.32439603453796,0.220091192814232,0.254157526940945,0.229051668540481,0.240073688730991,0.03932778420564,0.034797414663607,0.029668664018455,0.048196908417408
87,0.388723780558688,0.462895939210263,0.40313782458373,0.443859504859299,6.9372535553976,11.3473139105406,8.33158792739867,9.22995461966578,0.221429315554898,0.255953932596763,0.230412771019176,0.241799122212809,0.039724488141018,0.035536030966251,0.030386371573772,0.048497798630205
88,0.388668933171297,0.463569447377671,0.401660490254557,0.447305482147451,6.75516538941769,10.8053354227275,8.15363054049415,9.37879659273866,0.223561382598363,0.25526811107719,0.232129913191904,0.241780266772557,0.038717780565971,0.035433325157266,0.029962101766875,0.047677278311844
89,0.38564556239178,0.468301707842364,0.404516552367801,0.442108997534858,6.66006793688389,11.7789038680208,8.30092783410989,9.06331025007245,0.226920656162159,0.268379799526368,0.238454807922193,0.249913104295975,0.04060800407823,0.037753627485637,0.031890892923235,0.049745481358105
90,0.387604712685432,0.462862404755736,0.401664360185959,0.443561785964841,6.92215103501725,10.8962566578128,8.28634926338128,9.30148000162571,0.230735048238274,0.268846849728,0.239507021395084,0.254702085636842,0.039308589384632,0.03700222065595,0.030540813366955,0.049254756614229
