period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
112,31712894.2050506,30401687.2912264,31862609.6249555,30542363.643083,22765727.5627812,7635959.72844517,22910960.2768882,7631403.36619477,3058662.128752,2966902.26488944,5281137.44374889,4984323.60631054,5306087.00121364,5007776.33696322,509777.021458667,494483.710814907
113,31436929.2240095,30136459.081774,31584339.6238419,30274969.4087809,22571804.4317849,7564654.64998905,22714814.8481681,7560154.56061281,3117941.423592,3024403.18088424,0,0,0,0,0,0
114,32097121.5254773,30767821.7434259,32248668.841431,30910219.7463227,22966383.6124632,7801438.13096265,23113365.1004529,7796854.64586978,3251934.148032,3154376.12359104,5342048.03600957,5041703.5134425,5367302.89212989,5065443.40101694,541989.024672,525729.35393184
115,31787373.662752,30469463.9520259,31937092.4276938,30610144.9450519,22756830.296594,7712633.65543192,22902038.6418541,7708106.30319782,3275965.045368,3177686.09400696,0,0,0,0,0,0
116,32500427.4410941,31153904.9770836,32657239.2255483,31301287.619034,23317120.9052998,7836784.07178387,23464992.2566697,7836295.36236433,3469163.283872,3365088.38535584,5415250.90489062,5113073.62919658,5441382.5789953,5137636.65754946,578193.880645333,560848.064225973
117,32239812.0258754,30903690.6203892,32396003.5854125,31050490.5019119,23119281.7724211,7784408.8479681,23266564.3343846,7783926.16752732,3528479.572416,3422625.18524352,0,0,0,0,0,0
118,33015726.4498508,31646725.7187003,33174752.6101092,31796190.9763617,23695649.6575334,7951076.06116686,23845607.1754957,7950583.80086601,3705424.056672,3594261.33497184,5500523.26145753,5194024.34445667,5527024.19366699,5218934.59434164,617570.676112,599043.55582864
119,32863711.0490884,31500251.7554509,33021138.1818249,31648214.16345,23573663.5607421,7926588.19470884,23722112.2020544,7926101.96139566,3805724.658752,3691552.91898944,0,0,0,0,0,0
120,33517827.6885804,32126594.4152908,33678592.9027948,32277709.579784,24049746.1088627,8076848.3064281,24200861.8727651,8076847.70701889,3948656.925464,3830197.21770008,5578258.75537163,5266599.24665721,5605052.2242534,5291787.14008296,658109.487577333,638366.202950013
121,33101818.3560828,31728758.8883301,33259569.3570109,31877040.7439217,23767982.8040801,7960776.08424998,23916265.2464332,7960775.49748846,4004518.551088,3884382.99455536,0,0,0,0,0,0
122,33684907.8806847,32287360.1899157,33844925.4418776,32437772.5483423,24119098.5679745,8168261.62194114,24269511.5224011,8168261.02594122,4198764.177792,4072801.25245824,5607114.52008141,5295090.79538163,5633783.37795847,5320161.62274467,699794.029632,678800.20874304
123,33327637.1315314,31944619.505152,33483935.5838994,32091536.0210967,23801683.1183383,8142936.38681376,23948600.2253542,8142935.79574247,4233033.04788,4106042.0564436,0,0,0,0,0,0
124,34012251.3439751,32600868.5343161,34170320.0980583,32749449.0638392,24265489.3573617,8335379.1769544,24414070.4883193,8335378.57551993,4423736.52984,4291024.4339448,5664574.15846474,5351138.2475166,5690918.22398303,5375904.10041623,737289.42164,715170.7389908
125,33671502.7836037,32274683.6563268,33825062.4615305,32419025.9383503,24008963.305484,8265720.35084276,24153306.0885014,8265719.84984895,4354999.740576,4224349.74835872,0,0,0,0,0,0
126,34386338.2198321,32960186.5064948,34538785.2457393,33103486.7418137,24480718.4755747,8479468.03092018,24624019.2207676,8479467.52104616,4531705.899912,4395754.72291464,5724164.45262166,5407020.90026395,5749572.29576331,5430906.85432606,755284.316652,732625.78715244
127,33968689.8471339,32558887.2808994,34118866.806058,32700053.6536193,24181007.3718817,8377879.90901773,24322174.2482323,8377879.40538706,4497410.25496,4362487.9473112,0,0,0,0,0,0
128,34711664.9195991,33271210.7994555,34862487.2711225,33412983.8417394,24686260.0491009,8584950.75035459,24828033.5634658,8584950.27827368,4654944.027968,4515295.70712896,5780878.28795933,5461683.0925368,5806015.35219406,5485314.52857885,775824.004661333,752549.284521493
129,34475781.6957397,33045325.5908724,34620968.8832663,33181801.5235018,24483049.4788453,8562276.11202711,24619525.8777251,8562275.64577667,4727768.628528,4585935.56967216,0,0,0,0,0,0
130,35110534.0584583,33654430.2505718,35255954.3714117,33791125.8206113,24936522.4548382,8717907.79573362,25073218.4988525,8717907.32175879,4814762.121216,4670319.25757952,5846384.05473309,5523631.12738267,5870620.85793158,5546416.40190056,802460.353536,778386.54292992
