period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,
118,2401883,1259635,798664,235952,0,6857,57098,34258,9327,2401789.27599813
119,2393359,1353372,703998,231868,0,6500,62493,26547,10383,2395161.71692116
120,2377530,1305312,738949,230273,0,8953,60732,23866,8840,2376925.04206693
121,2868328,1305815,737984,230880,509679,7443,47149,21180,6764,2866893.6003561
122,2391620,1303973,768545,232201,0,6865,45776,30759,7097,2395216.19232227
123,2390875,1257647,809259,232028,0,9497,42610,35730,7845,2394616.94332377
124,2390596,1284649,770553,230878,0,6709,56877,30089,9206,2388962.39106508
125,2882160,1254978,769488,231582,523553,8050,54891,27945,8956,2879442.80653598
126,2294361,1191602,765625,231354,0,6505,55620,35088,10766,2296561.01931715
127,2289369,1243188,721083,229707,0,5893,48389,33762,9568,2291590.26673242
128,2348523,1255018,762208,230223,0,8157,44260,34199,9055,2343119.93760342
129,2920529,1262001,790346,229328,532764,7107,52424,35042,9499,2918511.63970367
130,2368930,1332418,706371,230788,0,7201,50118,32011,8232,2367137.87880746
131,2364823,1333957,705701,227637,0,11296,53536,24174,9330,2365630.86585288
132,2395813,1278984,788191,226201,0,8273,57173,29379,9819,2398019.63353122
133,2913859,1260950,796560,225124,533711,8576,46147,35254,8752,2915073.07246244
134,2379074,1240651,814769,223994,0,6399,67565,15860,9800,2379039.26363662
135,2337215,1176393,841743,221555,0,5485,55512,23555,10568,2334812.11373154
136,2345527,1216201,812570,223162,0,6646,44690,31262,7016,2341546.41329007
137,2951161,1244935,828530,223642,538793,8510,58937,32521,9275,2945142.25055778
138,2333281,1306313,726996,224237,0,5771,39745,19697,6430,2329189.91240234
139,2321856,1257115,745074,224154,0,8883,51939,21941,8358,2317463.99910764
140,2340377,1266112,740389,225658,0,11545,49506,32203,8636,2334048.11868891
141,2951456,1266521,808370,224941,546677,8911,44235,36130,7724,2943508.25853661
142,2399617,1276369,812990,223300,0,3219,49106,24369,7341,2396695.31779883
143,2332363,1251715,765558,223644,0,7336,51352,21397,8279,2329280.16172902
144,2336231,1244935,764451,221770,0,8399,48739,34738,8275,2331306.80611104
145,2883884,1236593,779436,222106,539354,9553,41221,44472,6655,2879390.68597486
146,2297811,1233204,758046,221642,0,8740,48537,23532,7605,2301305.36044407
147,2335648,1219913,801938,220692,0,8474,52990,23384,7657,2335047.731058
148,2305240,1257351,747628,218043,0,5526,35731,39323,6353,2309955.80290237
149,2818333,1231746,743917,216523,532895,5173,52078,33508,7011,2822850.6906586
150,2293550,1238697,750665,216896,0,7570,35961,42630,6340,2298759.08981102
151,2310349,1231162,765626,217409,0,6743,47115,35444,6647,2310146.92323835
152,2291091,1200490,787548,215543,0,8182,41484,33444,7790,2294480.66829863
