Period,"Gini sedlac, all income","Gini sedlac, labour income","Gini sedlac, labour and pension income","Gini sedlac, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income","Gini sedlac, labour and IFE income","Decile ratio, labour and IFE income","Top 10%, share of labour and IFE income","Bottom 10%, share of labour and IFE income","Gini sedlac, measure IFE impact","Decile ratio, measure IFE impact","Top 10%, measure IFE impact","Bottom 10%, measure IFE impact"
61,0.38753899546916748,0.44796741199453799,0.4080531123547354,0.42369766412600857,6.713839641927025,11.048695018948777,8.453021416333293,8.363330155053276,0.21506219516217373,0.2416113011632295,0.22678504649874742,0.22512644975735113,0.03814748285513812,0.028215766290074495,0.027704109093066292,0.04196537752652879,0.44796741199453799,11.048695018948777,0.2416113011632295,0.028215766290074495,0.44796741199453799,11.048695018948777,0.2416113011632295,0.028215766290074495
62,0.38653066651590651,0.44597139394116964,0.40500215271754669,0.42653095353043058,6.724113642512413,10.973423222934835,8.388694897430433,8.413244999022407,0.2166775005739859,0.24438852262321384,0.22684710771710698,0.2297919437470048,0.03836387775068477,0.02983071074588331,0.02843467536105215,0.042976004496987553,0.44597139394116964,10.973423222934835,0.24438852262321384,0.02983071074588331,0.44597139394116964,10.973423222934835,0.24438852262321384,0.02983071074588331
63,0.39182694635347098,0.45037431069858835,0.40923580768858431,0.43058484275387093,6.620999927750836,10.764580697621374,8.071161658371683,8.34006663261015,0.22128735390035706,0.24891447184510004,0.23130823555503524,0.23456604759641356,0.04109445434583978,0.03154355754728913,0.030178112395782466,0.04598998642634495,0.45037431069858835,10.764580697621374,0.24891447184510004,0.03154355754728913,0.45037431069858835,10.764580697621374,0.24891447184510004,0.03154355754728913
64,0.39513728198072978,0.44992806914825134,0.41189811087593609,0.43171397197578087,6.671658181735075,10.57989885989065,8.320221150809749,8.51048960699445,0.22392390225872633,0.25701663076035397,0.23360704298957002,0.243009697507572,0.039802587883424084,0.03067942230624614,0.030624499459451823,0.04274062333585158,0.44992806914825134,10.57989885989065,0.25701663076035397,0.03067942230624614,0.44992806914825134,10.57989885989065,0.25701663076035397,0.03067942230624614
65,0.38857763400794187,0.44932315944154522,0.40882584311431347,0.42655160137306364,6.4078787702484155,10.802545090220503,8.125136451071755,8.266027650161782,0.2186649128184285,0.2539085379318496,0.230638881619654,0.23658101264819045,0.03800417307237665,0.027177071126918854,0.027909134527956247,0.040494661838989685,0.44932315944154522,10.802545090220503,0.2539085379318496,0.027177071126918854,0.44932315944154522,10.802545090220503,0.2539085379318496,0.027177071126918854
66,0.39104302796282547,0.44922075158532926,0.41093116409199199,0.42821232222374883,6.463022701889502,10.74100242649722,8.091715638688038,8.21125660114151,0.22281196660871438,0.2572527906850389,0.2338082552725798,0.24124975579767,0.03975664940547056,0.0289156075912586,0.028474812013839664,0.04380863811145512,0.44922075158532926,10.74100242649722,0.2572527906850389,0.0289156075912586,0.44922075158532926,10.74100242649722,0.2572527906850389,0.0289156075912586
67,0.38626075527440323,0.4488996085560088,0.40605255627137105,0.42700667167034595,6.42505690412445,11.168038950979389,7.886878392820899,8.212863622511438,0.21851025948051694,0.24584700317327224,0.22919887845704043,0.2305273273004072,0.0426435056256487,0.033683424945640195,0.03132882112717339,0.0486541818198203,0.4488996085560088,11.168038950979389,0.24584700317327224,0.033683424945640195,0.4488996085560088,11.168038950979389,0.24584700317327224,0.033683424945640195
68,0.38540154116673381,0.44892517926519759,0.40655313457833753,0.42403694245213208,6.466974018626436,11.178779479304977,8.163465721814845,8.07913803651587,0.2189891093112222,0.24875350353585354,0.23031861216014507,0.23233441330522062,0.041225634694411824,0.03101927603717652,0.030350384283329368,0.04556802699719391,0.44892517926519759,11.178779479304977,0.24875350353585354,0.03101927603717652,0.44892517926519759,11.178779479304977,0.24875350353585354,0.03101927603717652
69,0.36448994915704203,0.44836669754508257,0.38752376329738258,0.42083623811478615,5.960023867375334,11.0037646476313,8.016422604904836,7.784050954444223,0.21016273711962388,0.24734952098334362,0.2226170263138737,0.22826025579161893,0.04433078064670234,0.035120690749767605,0.03192337633857191,0.05198972517158049,0.44836669754508257,11.0037646476313,0.24734952098334362,0.035120690749767605,0.44836669754508257,11.0037646476313,0.24734952098334362,0.035120690749767605
70,0.44214239488135088,0.45552871193417138,0.40412000853255187,0.43787019144416095,11.419036484838786,12.423164024220373,8.561120569703421,9.235207376296287,0.24035817404535761,0.29133529566655575,0.2619484576867733,0.2725560040933544,0.014384105971820344,0.0017147841436753032,0.0027165229898670038,0.002900741622833662,0.52049304533500473,15.4193795057245,0.2749365852423879,0.017812029367352322,0.60098592146837837,15.4193795057245,0.2749366429848814,0.0016182625411971805
