period,total pensions. pre-2016. cost,total net pensions. pre-2016,total pensions. post-2016. cost,total net pensions. post-2016,total retirement benefits pre-2016,total survivors pensions pre-2016,total retirement benefits post-2016,total survivors pensions post-2016,total universal pensions. cost,total net universal pensions, total thirteenth month of pension pre-2016. cost,total net thirteenth month of pension pre-2016, total thirteenth month of pension post-2016. cost,total net thirteenth month of pension post-2016, total thirteenth month of universal pension. cost,total net thirteenth month of universal pension
73,21312259.2471905,20457615.6632366,21386373.4708508,20527283.0324767,16520470.8039082,3937144.85932843,16590138.2003205,3937144.83215623,508659.455498643,493399.671833683,0,0,0,0,0,0
74,21445642.5339977,20583351.6093378,21520937.0631471,20654128.4656849,16569907.7096475,4013443.89969026,16640684.5938812,4013443.87180372,544653.972111998,528314.352948639,3572696.72332128,3369504.34211882,3585245.8113261,3381300.48464349,90775.6620186664,88052.3921581064
75,21520999.4694353,20653385.6210808,21597956.0210905,20725724.7790741,16594101.9230701,4059283.69801066,16666441.1016053,4059283.67746884,574569.524800477,557332.439056462,0,0,0,0,0,0
76,21756323.4559723,20876977.9633412,21836293.5206393,20952149.823514,16698701.6181904,4178276.34515085,16773873.5005787,4178276.32293527,642391.455370296,623119.711709187,3623899.08397486,3416986.21548758,3637227.42797712,3429514.85872531,107065.242561716,103853.285284865
77,21880718.7515955,20995004.9824435,21963167.5441776,21072506.8468433,16764425.1758571,4230579.80658646,16841927.0629013,4230579.78394201,679580.771903492,659193.348746387,0,0,0,0,0,0
78,21939965.5732038,21050308.4409761,22024344.0211867,21129624.1814442,16743829.4496366,4306478.9913395,16823145.2130251,4306478.96841916,702843.550239317,681758.243732137,3654192.94353409,3445144.45784131,3668256.01808518,3458363.74779119,117140.591706553,113626.373955356
79,22023004.5608234,21128758.5182743,22108576.4194413,21209196.0647385,16739884.1439706,4388874.37430366,16820321.7133809,4388874.35135767,734588.787040439,712551.123429225,0,0,0,0,0,0
80,22176957.453936,21274028.5124737,22264793.9890624,21356594.8548902,16752948.9034852,4521079.60898855,16835515.2677441,4521079.58714602,764681.419482655,741740.976898175,3693191.56904408,3481568.95962274,3707830.99145834,3495330.01656971,127446.903247109,123623.496149696
81,22273911.6913943,21366259.7537649,22362953.5468616,21449959.097174,16812492.3670061,4553767.38675876,16896191.7363898,4553767.36078423,813945.231709444,789526.874758161,0,0,0,0,0,0
82,22365959.982413,21453109.8998758,22455508.3004692,21537285.3180466,16829414.593282,4623695.30659389,16913590.047225,4623695.27082163,843725.159109238,818413.404335961,3724443.7224177,3510698.68031177,3739368.44195152,3524727.91651672,140620.85985154,136402.234055994
83,22488579.6029816,21567965.7248348,22580243.084691,21654129.3968398,16854271.1088345,4713694.61600027,16940434.81661,4713694.58022988,863664.312552412,837754.38317584,0,0,0,0,0,0
84,22590851.5872375,21664057.1902121,22684198.6649874,21751803.4425848,16890632.9403288,4773424.24988334,16978379.2060307,4773424.23655415,898683.70330476,871723.192205617,3761405.72426498,3545098.67435884,3776963.57043035,3559723.04961786,149780.61721746,145287.198700936
85,22658108.2750801,21726686.6253056,22752654.3893873,21815559.9717752,16887392.6728821,4839293.95242355,16976266.041305,4839293.93047019,911810.608191219,884456.289945482,0,0,0,0,0,0
86,22810860.2757445,21871531.5383421,22907238.9398363,21962127.6376171,16945420.2583876,4926111.27995451,17036016.3796405,4926111.25797659,933570.490784853,905563.376061308,3797686.69549354,3578825.13517197,3813749.83366287,3593924.48486855,155595.081797476,150927.229343551
87,22917733.6056245,21973019.7499121,23015168.1188897,22064608.3475852,16976936.9869463,4996082.7629658,17068525.6065685,4996082.74101669,974812.554545875,945568.177909499,0,0,0,0,0,0
88,23041138.172008,22089316.6273383,23140127.056819,22182366.3344381,17012416.7580942,5076899.86924413,17105466.4871677,5076899.84727046,1057296.4225783,1025577.52990095,3835564.62022568,3614783.06231557,3852062.79524337,3630291.3466495,176216.070429716,170929.588316824
89,23116446.9501732,22161289.684006,23216473.243175,22255314.5549615,17052588.9399409,5108700.74406503,17146613.8334568,5108700.72150469,1174406.7495671,1139174.54708009,0,0,0,0,0,0
90,23261733.1748939,22299142.6559175,23362512.470551,22393875.3495002,17112482.60615,5186660.04976752,17207215.3229422,5186660.02655805,1279569.45518622,1241182.37153063,3871766.9804909,3649783.20276336,3888563.55736726,3665571.98483366,213261.57586437,206863.728588439
91,23456667.4067163,22483369.1527001,23560404.4844504,22580882.1615718,17229411.4587291,5253957.69397096,17326924.4920487,5253957.66952305,1359815.7630867,1319021.2901941,0,0,0,0,0,0
92,23594536.3343252,22614213.1216848,23699716.1795662,22713082.3320144,17317042.9829915,5297170.13869332,17415912.2233854,5297170.108629,1461365.0124218,1417524.06204914,3926654.22089902,3701968.28702633,3944184.22273051,3718446.48851783,243560.835403633,236254.010341524
93,23694093.8352602,22708873.3580206,23800746.5970937,22809127.1100666,17379635.2831023,5329238.07491824,17479889.0945743,5329238.01549232,1550498.68405313,1503983.72353154,0,0,0,0,0,0
94,23845637.4087956,22851400.4569858,23953221.5669893,22952529.8385124,17427252.8164565,5424147.64052931,17528382.2574589,5424147.58105352,1650050.97050097,1600549.44138594,3967863.82771678,3741208.77240882,3985794.5691222,3758063.66908995,275008.495083494,266758.24023099
95,24021159.7891733,23018837.4237275,24129948.0995418,23121098.7086035,17572712.894852,5446124.52887551,17674974.2416448,5446124.46695871,1770294.3671899,1717185.53617421,0,0,0,0,0,0
96,24229528.1222154,23215873.2402666,24339920.5336366,23319642.3804412,17737702.1125522,5478171.12771438,17841471.3146035,5478171.06583766,1845283.25105998,1789924.75352818,4031460.51548975,3801584.25348483,4049859.29920866,3818879.10994069,307547.208509996,298320.792254696
97,24376511.2979585,23355320.006195,24489572.0776456,23461597.4127038,17841299.0120686,5514020.99412638,17947576.457816,5514020.95488784,1948826.4970078,1890361.70209757,0,0,0,0,0,0
98,24539815.5181652,23510304.6837833,24654770.1995576,23618362.358152,17975501.3439528,5534803.33983057,18083559.0591943,5534803.29895766,2026610.09906246,1965811.79609059,4082870.76954704,3850623.11534604,4102029.93166914,3868632.72746753,337768.349843744,327635.299348432
99,24785966.3449293,23745289.9006812,24901861.8859016,23854231.9833614,18107746.3944545,5637543.50622673,18216688.5180533,5637543.4653081,2172009.41220551,2106849.12983935,0,0,0,0,0,0
100,24902975.8686483,23856488.661131,25019515.675281,23966036.3537898,18179492.6051828,5676996.05594826,18289040.345515,5676996.00827481,2272694.87173487,2204514.02558282,4142971.87626121,3908017.83475716,4162395.2260234,3926275.78325129,378782.478622478,367419.004263804
101,25120032.3093996,24062415.512385,25237794.899957,24173112.6222172,18304048.3119284,5758367.20045658,18414745.4702227,5758367.15199453,2370934.1979799,2299806.1720405,0,0,0,0,0,0
102,25379276.637563,24307782.470607,25501493.3908194,24422666.4935195,18482014.3247491,5825768.14585795,18596898.4014795,5825768.09204003,2424446.77876594,2351713.37540296,4221716.85641741,3982491.72505625,4242086.364026,4001639.06189325,404074.463127657,391952.229233827
103,25469463.1541632,24392969.4997113,25592514.3449351,24508637.8955225,18551842.4676694,5841127.03204191,18667510.8744685,5841127.02105401,2516204.49125543,2440718.35651777,0,0,0,0,0,0
104,25647784.481355,24562528.2814731,25771482.6333262,24678804.7466357,18656326.1212573,5906202.16021577,18772602.5984613,5906202.14817434,2616003.26280675,2537523.16492255,4266084.60785593,4024928.66321735,4286701.00238831,4044308.07398486,436000.543801126,422920.527487092
105,25724868.3034191,24635018.0272931,25848591.8531587,24751318.7301587,18694686.2744802,5940331.75281286,18810986.9746367,5940331.755522,2688375.00457783,2607723.7544405,0,0,0,0,0,0
106,25855485.4336684,24759326.6522243,25980465.4566489,24876808.4405275,18776197.3497893,5983129.30243503,18893679.1367423,5983129.30378528,2763720.63434229,2680809.01531202,4300183.92370758,4057515.91741059,4321014.02801667,4077096.21531143,460620.105723714,446801.502552003
107,26005984.3858104,24902593.1312494,26131687.7260406,25020754.8500711,18882429.9964505,6020163.1347989,19000591.7139204,6020163.13615066,2874555.9488527,2788319.27038712,0,0,0,0,0,0
108,26234832.9120502,25120092.0430125,26361155.3739195,25238835.7366345,19008023.7419656,6112068.30104692,19126767.4403222,6112068.29631233,2966060.87123878,2877079.04510162,4363065.81925344,4117407.35124976,4384119.66564032,4137197.96667101,494343.478539797,479513.174183603
109,26307137.6065376,25188700.063489,26433177.1395949,25307177.8045705,19023016.3855159,6165683.6779731,19141494.1476711,6165683.65689939,3050148.24004357,2958643.79284226,0,0,0,0,0,0
110,26517136.840086,25387045.1917578,26644891.1508296,25507134.8244607,19188431.0860187,6198614.10573918,19308520.749211,6198614.0752497,3137041.37786053,3042930.13652472,4409564.07599827,4161681.23981797,4430856.56406614,4181696.17839175,522840.229643422,507155.02275412
111,26683241.3672951,25544526.3430365,26810302.5652583,25663964.5831655,19315439.0430538,6229087.29998263,19434877.3194576,6229087.26370791,3189014.45084474,3093344.0173194,0,0,0,0,0,0
112,26862329.8106503,25715259.8861989,26991589.505382,25836764.7140857,19473462.0582825,6241797.82791634,19594966.922594,6241797.79149174,3291532.89616084,3192786.90927601,4466875.13281643,4216055.86726619,4488418.54201622,4236306.67168275,548588.816026806,532131.151546002
113,27080408.9603524,25922414.9855576,27210569.7832476,26044766.8747154,19654740.4460669,6267674.53949073,19777092.3717703,6267674.50294513,3380512.66211754,3279097.28225401,0,0,0,0,0,0
114,27201770.4733879,26038082.7862133,27332793.3386587,26161244.9975594,19747267.3340792,6290815.45213414,19870429.5352448,6290815.46231461,3504838.5891855,3399693.43150993,4523145.16240497,4269687.77087336,4544982.43392022,4290214.80613288,584139.76486425,566615.571918322
115,27463555.3957247,26287150.1384533,27595913.5135975,26411567.4880485,19954026.752669,6333123.38578432,20078444.0920723,6333123.39597618,3629709.81541088,3520818.52094855,0,0,0,0,0,0
116,27599998.7459305,26417682.3118874,27733578.9869759,26543248.4580529,20026652.9240867,6391029.38780073,20152219.0613126,6391029.39674027,3731232.70415013,3619295.72302563,4589139.29061719,4332656.11587118,4611402.79171035,4353583.80693123,621872.117358355,603215.953837605
117,27697746.369183,26510185.5925571,27831152.8084048,26635588.3658133,20100809.105946,6409376.48661106,20226211.8702527,6409376.49556059,3782542.74550331,3669066.46313821,0,0,0,0,0,0
118,27800326.9601531,26607093.7939982,27934560.1552785,26733273.7197652,20188095.6510088,6418998.14298939,20314275.5691804,6418998.15058483,3859733.95017153,3743941.93166639,4622327.82720769,4364309.49745656,4644700.15447134,4385339.48531567,643288.991695255,623990.321944398
119,28006000.9628625,26802646.0659385,28142023.1082328,26930507.6057438,20379356.4732277,6423289.59271075,20507217.9940736,6423289.61167025,3968049.62695422,3849008.1381456,0,0,0,0,0,0
120,28222796.1103493,27008972.5226251,28358265.2012512,27136314.1920391,20541818.3600424,6467154.1625827,20669160.0104757,6467154.18156341,4063295.85288771,3941396.97730108,4692362.04702121,4430821.6313314,4714940.35720101,4452045.24313042,677215.975481285,656899.496216847
121,28392709.4463699,27169195.69333,28528824.4241447,27297144.4972155,20641539.6779812,6527656.01534874,20769488.4675392,6527656.02967635,4117820.14291808,3994285.53863053,0,0,0,0,0,0
122,28622494.2552261,27387481.7719396,28760310.335957,27517029.6133076,20838281.7470252,6549200.02491435,20967829.5826618,6549200.03064583,4204786.03708698,4078642.45597437,4758731.31263742,4493739.18975091,4781700.78805729,4515330.49685787,700797.672847829,679773.742662395
123,28836198.832567,27590240.3863883,28975275.6364831,27720973.4581229,21003115.2848909,6587125.10149736,21133848.3505529,6587125.10757005,4298096.15269332,4169153.26811252,0,0,0,0,0,0
124,29002987.9556935,27748034.6629245,29142466.4257799,27879145.3018392,21099762.887397,6648271.77552751,21230873.5202322,6648271.78160699,4378072.55001595,4246730.37351547,4821618.44360232,4553500.97055263,4844865.01078578,4575353.60981675,729678.758335991,707788.395585911
125,29127752.6732421,27867111.3929695,29266048.0935831,27997109.845261,21134137.0347211,6732974.35824843,21264135.4809263,6732974.36433472,4451454.72311111,4317911.08141777,0,0,0,0,0,0
126,29305678.3367618,28036211.3344929,29442740.6788815,28165050.6941035,21228057.9754165,6808153.35907636,21356897.328934,6808153.36516946,4509395.73974161,4374113.86754936,4871974.00205327,4601438.97732743,4894817.86014026,4622913.07197982,751565.956623602,729018.977924893
127,29462460.1343483,28185868.2564316,29599907.8431899,28315069.8616087,21307993.133439,6877875.12299263,21437194.7325162,6877875.12909254,4633623.25054063,4494614.55302441,0,0,0,0,0,0
128,29614201.6784036,28330012.8148976,29751422.5875346,28459001.2291958,21407788.3539442,6922224.46095349,21536776.7621355,6922224.46706023,4728140.23591788,4586296.02884034,4923066.20662134,4650398.36272492,4945936.49284441,4671897.30176855,788023.372652979,764382.67147339
129,29655169.2274773,28369294.6960278,29792568.4040886,28498450.6826074,21434248.5771744,6935046.11885345,21563404.5576403,6935046.12496702,4828724.41843775,4683862.68588461,0,0,0,0,0,0
130,29927270.5462112,28627922.2446436,30064544.4175425,28756960.4449883,21624595.5261527,7003326.71849096,21753633.720377,7003326.72461137,4903591.62641781,4756483.87762527,4974928.2453423,4699759.1146958,4997807.3588786,4721266.35334047,817265.271069634,792747.312937545
131,30193470.2679202,28881286.6646515,30330673.957634,29010258.8951276,21809094.8787025,7072191.78594901,21938067.1030513,7072191.79207627,5008500.91560609,4858245.88813791,0,0,0,0,0,0
132,30358744.7135551,29038552.1714463,30495240.007226,29166859.4403052,21864216.3518129,7174335.81963334,21992523.6145378,7174335.82576745,5114849.46938381,4961403.9853023,5046625.37396717,4768075.54284287,5069374.88972231,4789460.96153243,852474.911563969,826900.66421705
133,30586701.2388146,29255610.3826624,30723987.9466081,29384660.3175643,22030216.6606099,7225393.7220525,22159266.5893708,7225393.72819347,5211086.51398727,5054753.91856765,0,0,0,0,0,0
134,30752740.9316901,29413351.8909498,30889535.4611133,29541939.1786307,22150212.1136914,7263139.77725839,22278799.3992475,7263139.77938322,5284831.76757697,5126286.81454966,5112244.15503441,4830452.72294145,5135043.31951684,4851883.93776085,880805.294596162,854381.135758277
135,30935484.8243383,29587644.097008,31071753.3486124,29715736.9403299,22287497.5512524,7300146.54575565,22415590.3846045,7300146.55572535,5393348.50663163,5231548.05143268,0,0,0,0,0,0
136,31131515.4241769,29775168.391989,31266814.0698806,29902349.5499363,22464360.7786096,7310807.6133794,22591541.9230191,7310807.62691724,5534587.42790511,5368549.80506795,5175221.10299711,4890917.32032043,5197770.95369698,4912114.18018469,922431.237984184,894758.300844659
137,31263088.4674317,29900152.3782075,31398356.3170423,30027304.144219,22601162.2462955,7298990.13191199,22728313.998754,7298990.14546498,5617308.77784144,5448789.51450619,0,0,0,0,0,0
138,31537405.4984929,30161338.7871455,31672598.4124708,30288420.1136481,22817771.0322358,7343567.75490967,22944852.3451702,7343567.76847782,5725596.1341722,5553828.25014703,5242878.19221512,4955356.93690124,5265410.34230422,4976537.15821881,954266.022362033,925638.041691172
139,31703459.5408285,30319345.0047283,31837951.4137897,30445767.3526612,22911631.6179208,7407713.38680759,23038053.9531845,7407713.39947672,5809259.97167301,5634982.17252282,0,0,0,0,0,0
140,31810556.7478777,30421954.283445,31942911.3963447,30546367.6403391,22986698.2899476,7435255.99349736,23111111.6341584,7435256.00618066,5913334.86671894,5735934.82071737,5288373.16057132,4999150.47467449,5310432.2664036,5019888.05098959,985555.811119823,955989.136786228
141,31932832.4945641,30538320.8887515,32064666.1600783,30662244.5216557,23066136.3705516,7472184.51819984,23190059.9906218,7472184.53103396,5998310.99390175,5818361.6640847,0,0,0,0,0,0
142,32153638.6448634,30749638.25467,32282417.3019904,30870690.1796784,23256621.1096945,7493017.14497549,23377673.0218544,7493017.15782396,6086674.67912121,5904074.43874758,5345555.9008037,5053667.23411952,5367019.0080747,5073844.57630249,1014445.77985354,984012.40645793
143,32329139.817424,30917085.3817619,32457063.0084286,31037333.3889759,23363098.3555783,7553987.02618368,23483346.3499294,7553987.03904653,6171943.01363577,5986784.7232267,0,0,0,0,0,0
144,32525715.1967465,31104390.6602744,32652992.1966919,31224031.2481251,23544288.8304366,7560101.82983773,23663929.4054101,7560101.84271496,6291536.70906527,6102790.60779331,5406959.53575926,5112145.32218903,5428172.40594556,5132087.44603758,1048589.45151088,1017131.76796555
145,32645496.9791931,31217871.9456888,32773082.6520004,31337802.6862624,23633872.1599761,7583999.78571271,23753802.887658,7583999.79860435,6340833.25739646,6150608.25967457,0,0,0,0,0,0
146,32888076.8794932,31447633.5983653,33013229.9177131,31565277.6626594,23806102.8571416,7641530.74122369,23923746.9085296,7641530.75412975,6412614.65935175,6220236.2195712,5467117.13598112,5169208.72155967,5487976.01262901,5188818.09606943,1068769.10989196,1036706.0365952
147,33064965.3397384,31616287.3252041,33188605.713593,31732509.530363,23959965.8726222,7656321.45258185,24076188.0737622,7656321.45660077,6547790.71451575,6351356.99308027,0,0,0,0,0,0
148,33289693.5040114,31830860.8943023,33411666.2518637,31945515.554536,24119941.8727073,7710919.02159502,24234596.5289176,7710919.02561843,6655545.17440678,6455878.81917458,5533918.91995786,5233168.143902,5554247.76042482,5252279.2889473,1109257.5290678,1075979.80319576
149,33562559.0595195,32091076.8538256,33683343.3001167,32204614.317551,24329962.5137065,7761114.34011917,24443499.9765756,7761114.34097544,6781540.63408184,6578094.41505938,0,0,0,0,0,0
150,33800795.8044253,32317676.1921002,33921134.9593061,32430795.2755626,24508514.5714346,7809161.6206656,24621633.6540398,7809161.62152283,6892182.89021791,6685417.40351137,5618824.02696663,5313866.86405726,5638880.60204862,5332722.0841967,1148697.14836965,1114236.23391856
151,34026041.308632,32531717.5358,34144285.2574271,32642867.1258527,24679554.8184933,7852162.71730668,24790704.4076879,7852162.71816487,6953911.76323665,6745294.41033955,0,0,0,0,0,0
152,34258451.702235,32752733.8069167,34376086.8080684,32863311.1530048,24842792.8614331,7909940.94548357,24953370.2066621,7909940.94634271,7060510.19700204,6848694.89109197,5694879.2933555,5386227.40181614,5714485.20578247,5404659.00362583,1176751.69950034,1141449.14851533
